seq_id,block_id,ship_id,platen_idx,platen_id,platen_name,planned_start_day,planned_end_day,due_day,delay_days,lead_time_days,is_feasible,requested_feasible,status,reward
757,284,H1088,16,PPT0052A,0东-4,0,72,126,0,72,True,True,ALLOCATED,0.0
758,294,H1088,13,PPT0003A,0西-5,0,71,125,0,71,True,True,ALLOCATED,0.0
823,836,H1088,4,BQM4810A,Bay48-S-10,21,74,100,0,53,True,True,ALLOCATED,0.0
822,826,H1088,4,BQM4810A,Bay48-S-10,74,127,100,27,53,True,True,ALLOCATED,-27.0
810,835,H1088,43,PPT1056A,Bay10-N-12,21,61,113,0,40,True,True,ALLOCATED,0.0
809,825,H1088,47,PPT1060A,Bay10-N-20,21,61,113,0,40,True,True,ALLOCATED,0.0
803,694,H1088,55,PPT0808A,Bay8-S-15,21,60,113,0,39,True,True,ALLOCATED,0.0
802,684,H1087,16,PPT0052A,0东-4,72,111,113,0,39,True,True,ALLOCATED,0.0
819,101,H1088,7,BQM4853A,Bay48-N-3,22,83,107,0,61,True,True,ALLOCATED,0.0
881,102,H1087,24,PPT0060A,0东-20,28,67,74,0,39,True,True,ALLOCATED,0.0
856,110,H1088,35,PPT1011A,Bay10-S-21,29,71,87,0,42,True,True,ALLOCATED,0.0
847,272,H1087,13,PPT0003A,0西-5,71,106,105,1,35,True,True,ALLOCATED,-1.0
793,182,H1088,34,PPT1010A,Bay10-S-19,31,73,116,0,42,True,True,ALLOCATED,0.0
794,192,H1088,2,BQM4803A,Bay48-S-3,31,73,116,0,42,True,True,ALLOCATED,0.0
792,154,H1088,7,BQM4853A,Bay48-N-3,83,123,115,8,40,True,True,ALLOCATED,-8.0
828,683,H1087,27,PPT1003A,Bay10-S-5,31,56,108,0,25,True,True,ALLOCATED,0.0
829,693,H1087,58,PPT0811A,Bay8-S-21,31,56,108,0,25,True,True,ALLOCATED,0.0
880,101,H1087,21,PPT0057A,0东-14,35,71,74,0,36,True,True,ALLOCATED,0.0
804,134,H1088,19,PPT0055A,0东-10,36,81,111,0,45,True,True,ALLOCATED,0.0
805,124,H1088,43,PPT1056A,Bay10-N-12,61,106,111,0,45,True,True,ALLOCATED,0.0
870,173,H1088,34,PPT1010A,Bay10-S-19,73,102,99,3,29,True,True,ALLOCATED,-3.0
867,163,H1088,11,PPT0001A,0西-1,36,65,100,0,29,True,True,ALLOCATED,0.0
874,103,H1088,7,BQM4853A,Bay48-N-3,123,162,87,75,39,True,True,ALLOCATED,-75.0
869,161,H1088,31,PPT1007A,Bay10-S-13,37,69,99,0,32,True,True,ALLOCATED,0.0
830,143,H1087,55,PPT0808A,Bay8-S-15,60,105,107,0,45,True,True,ALLOCATED,0.0
831,153,H1087,41,PPT1054A,Bay10-N-8,38,83,107,0,45,True,True,ALLOCATED,0.0
848,132,H1087,37,PPT1013A,Bay10-S-25,42,69,107,0,27,True,True,ALLOCATED,0.0
861,122,H1087,31,PPT1007A,Bay10-S-13,69,93,104,0,24,True,True,ALLOCATED,0.0
862,103,H1087,7,BQM4853A,Bay48-N-3,162,213,104,109,51,True,True,ALLOCATED,-109.0
787,111,H1088,2,BQM4803A,Bay48-S-3,73,113,115,0,40,True,True,ALLOCATED,0.0
797,801,H1087,52,PPT0803A,Bay8-S-5,46,96,113,0,50,True,True,ALLOCATED,0.0
857,112,H1088,18,PPT0054A,0东-8,46,72,85,0,26,True,True,ALLOCATED,0.0
864,144,H1087,34,PPT1010A,Bay10-S-19,102,126,100,26,24,True,True,ALLOCATED,-26.0
865,154,H1087,34,PPT1010A,Bay10-S-19,126,150,100,50,24,True,True,ALLOCATED,-50.0
866,632,H1087,65,PPT0864A,Bay8-N-28,47,62,105,0,15,True,True,ALLOCATED,0.0
863,622,H1087,27,PPT1003A,Bay10-S-5,56,71,106,0,15,True,True,ALLOCATED,0.0
879,101,H1087,43,PPT1056A,Bay10-N-12,106,135,86,49,29,True,True,ALLOCATED,-49.0
871,102,H1088,2,BQM4803A,Bay48-S-3,113,150,94,56,37,True,True,ALLOCATED,-56.0
759,154,H1088,29,PPT1005A,Bay10-S-9,50,101,133,0,51,True,True,ALLOCATED,0.0
760,144,H1088,37,PPT1013A,Bay10-S-25,69,118,132,0,49,True,True,ALLOCATED,0.0
843,834,H1087,8,BQM4503A,Bay45-S-3,50,75,105,0,25,True,True,ALLOCATED,0.0
842,824,H1088,3,BQM4808A,Bay48-S-8,50,75,105,0,25,True,True,ALLOCATED,0.0
859,835,H1087,8,BQM4503A,Bay45-S-3,75,103,101,2,28,True,True,ALLOCATED,-2.0
858,825,H1088,16,PPT0052A,0东-4,111,139,101,38,28,True,True,ALLOCATED,-38.0
761,134,H1088,7,BQM4853A,Bay48-N-3,213,261,132,129,48,True,True,ALLOCATED,-129.0
765,124,H1087,35,PPT1011A,Bay10-S-21,71,118,131,0,47,True,True,ALLOCATED,0.0
878,832,H1087,26,PPT1002A,Bay10-S-3,53,76,94,0,23,True,True,ALLOCATED,0.0
877,822,H1087,59,PPT0857A,Bay8-N-14,53,76,94,0,23,True,True,ALLOCATED,0.0
849,143,H1087,25,PPT1001A,Bay10-S-1,53,75,105,0,22,True,True,ALLOCATED,0.0
850,153,H1087,15,PPT0051A,0东-2,53,75,105,0,22,True,True,ALLOCATED,0.0
853,835,H1088,34,PPT1010A,Bay10-S-19,150,172,103,69,22,True,True,ALLOCATED,-69.0
852,825,H1088,25,PPT1001A,Bay10-S-1,75,97,103,0,22,True,True,ALLOCATED,0.0
795,183,H1087,63,PPT0862A,Bay8-N-24,54,76,118,0,22,True,True,ALLOCATED,0.0
796,193,H1087,45,PPT1058A,Bay10-N-16,54,76,118,0,22,True,True,ALLOCATED,0.0
815,283,H1087,3,BQM4808A,Bay48-S-8,75,106,113,0,31,True,True,ALLOCATED,0.0
811,293,H1087,8,BQM4503A,Bay45-S-3,103,134,114,20,31,True,True,ALLOCATED,-20.0
873,832,H1088,14,PPT0004A,0西-7,55,73,101,0,18,True,True,ALLOCATED,0.0
872,822,H1088,36,PPT1012A,Bay10-S-23,55,73,101,0,18,True,True,ALLOCATED,0.0
771,628,H1088,45,PPT1058A,Bay10-N-16,76,99,128,0,23,True,True,ALLOCATED,0.0
772,638,H1088,21,PPT0057A,0东-14,71,94,128,0,23,True,True,ALLOCATED,0.0
812,803,H1087,54,PPT0807A,Bay8-S-13,60,90,108,0,30,True,True,ALLOCATED,0.0
824,631,H1088,10,BQM4202A,Bay42-S-2,60,75,114,0,15,True,True,ALLOCATED,0.0
789,273,H1088,24,PPT0060A,0东-20,67,92,121,0,25,True,True,ALLOCATED,0.0
788,263,H1088,18,PPT0054A,0东-8,72,97,121,0,25,True,True,ALLOCATED,0.0
825,621,H1088,52,PPT0803A,Bay8-S-5,96,111,114,0,15,True,True,ALLOCATED,0.0
838,623,H1088,39,PPT1052A,Bay10-N-4,63,78,111,0,15,True,True,ALLOCATED,0.0
839,633,H1088,32,PPT1008A,Bay10-S-15,63,78,111,0,15,True,True,ALLOCATED,0.0
844,102,H1087,43,PPT1056A,Bay10-N-12,135,156,102,54,21,True,True,ALLOCATED,-54.0
820,133,H1088,54,PPT0807A,Bay8-S-13,90,119,107,12,29,True,True,ALLOCATED,-12.0
777,261,H1088,2,BQM4803A,Bay48-S-3,150,184,124,60,34,True,True,ALLOCATED,-60.0
821,123,H1088,11,PPT0001A,0西-1,66,95,107,0,29,True,True,ALLOCATED,0.0
840,103,H1088,2,BQM4803A,Bay48-S-3,184,214,103,111,30,True,True,ALLOCATED,-111.0
776,271,H1088,11,PPT0001A,0西-1,95,129,125,4,34,True,True,ALLOCATED,-4.0
766,268,H1087,46,PPT1059A,Bay10-N-18,67,96,130,0,29,True,True,ALLOCATED,0.0
841,184,H1088,39,PPT1052A,Bay10-N-4,78,108,103,5,30,True,True,ALLOCATED,-5.0
836,194,H1088,24,PPT0060A,0东-20,92,122,104,18,30,True,True,ALLOCATED,-18.0
875,161,H1087,45,PPT1058A,Bay10-N-16,99,117,96,21,18,True,True,ALLOCATED,-21.0
876,171,H1087,18,PPT0054A,0东-8,97,115,96,19,18,True,True,ALLOCATED,-19.0
779,272,H1087,13,PPT0003A,0西-5,106,137,128,9,31,True,True,ALLOCATED,-9.0
778,262,H1088,34,PPT1010A,Bay10-S-19,172,203,128,75,31,True,True,ALLOCATED,-75.0
767,278,H1087,42,PPT1055A,Bay10-N-10,68,96,130,0,28,True,True,ALLOCATED,0.0
762,801,H1088,7,BQM4853A,Bay48-N-3,261,295,129,166,34,True,True,ALLOCATED,-166.0
783,183,H1087,39,PPT1052A,Bay10-N-4,108,128,123,5,20,True,True,ALLOCATED,-5.0
784,193,H1087,59,PPT0857A,Bay8-N-14,76,96,123,0,20,True,True,ALLOCATED,0.0
832,182,H1087,8,BQM4503A,Bay45-S-3,134,151,113,38,17,True,True,ALLOCATED,-38.0
833,192,H1087,33,PPT1009A,Bay10-S-17,72,89,113,0,17,True,True,ALLOCATED,0.0
816,642,H1087,15,PPT0051A,0东-2,75,91,117,0,16,True,True,ALLOCATED,0.0
817,652,H1087,39,PPT1052A,Bay10-N-4,128,144,117,27,16,True,True,ALLOCATED,-27.0
