seq_id,primary_area,secondary_area,platen_id,platen_name,dimensions,crane_capacity_ton,height_limit_m,subcontractor_team,assigned_block_type,block_type,platen_type,notes,platen_length_m,platen_width_m,platen_area_m2
1,Curved-Bay,Bay-48m,BQM4801A,Bay48-S-1,5*10,240,9.0,MZ,110.0,,Fixed,,10.0,5.0,50.0
2,Curved-Bay,Bay-48m,BQM4802A,Bay48-S-2,5*10,240,9.0,MZ,110.0,,Fixed,,10.0,5.0,50.0
3,Curved-Bay,Bay-48m,BQM4803A,Bay48-S-3,36*21,240,9.0,MZ,,,General,,36.0,21.0,756.0
8,Curved-Bay,Bay-48m,BQM4808A,Bay48-S-8,20*14,240,9.0,MZ,111.0,,Fixed,,20.0,14.0,280.0
10,Curved-Bay,Bay-48m,BQM4810A,Bay48-S-10,22*21,240,9.0,MZ,,,General,,22.0,21.0,462.0
11,Curved-Bay,Bay-48m,BQM4851A,Bay48-N-1,5*10,240,9.0,HN,110.0,,Fixed,,10.0,5.0,50.0
12,Curved-Bay,Bay-48m,BQM4852A,Bay48-N-2,5*10,240,9.0,HN,110.0,,Fixed,,10.0,5.0,50.0
13,Curved-Bay,Bay-48m,BQM4853A,Bay48-N-3,36*21,240,9.0,HN,,CURVED,General,,36.0,21.0,756.0
22,Curved-Bay,Bay-45m,BQM4503A,Bay45-S-3,33*21,240,9.0,ZH,,FLAT,General,,33.0,21.0,693.0
23,Curved-Bay,Bay-45m,BQM4504A,Bay45-S-4,20*21,240,9.0,ZH,,FLAT,General,,21.0,20.0,420.0
37,Curved-Bay,Bay-42m,BQM4202A,Bay42-S-2,18*18,240,9.0,YT,,,General,,18.0,18.0,324.0
38,Platform-1,Platform-0,PPT0001A,0西-1,20*21,270,9.0,MZ,,,General,Platform-1,21.0,20.0,420.0
39,Platform-1,Platform-0,PPT0002A,0西-3,20*21,270,9.0,MZ,,,General,,21.0,20.0,420.0
40,Platform-1,Platform-0,PPT0003A,0西-5,20*21,270,9.0,MZ,,CURVED,Fixed,,21.0,20.0,420.0
41,Platform-1,Platform-0,PPT0004A,0西-7,20*21,270,9.0,MZ,,CURVED,Fixed,,21.0,20.0,420.0
49,Platform-1,Platform-0,PPT0051A,0东-2,20*21,270,9.0,MZ,,FLAT,General,,21.0,20.0,420.0
50,Platform-1,Platform-0,PPT0052A,0东-4,20*21,270,9.0,MZ,,FLAT,General,,21.0,20.0,420.0
51,Platform-1,Platform-0,PPT0053A,0东-6,20*21,270,9.0,MZ,,,General,,21.0,20.0,420.0
52,Platform-1,Platform-0,PPT0054A,0东-8,20*21,270,9.0,MZ,,CURVED,Fixed,,21.0,20.0,420.0
