seq_id,ship_id,block_id,block_type,length_m,width_m,weight_ton,assembly_start_date,earliest_start_date,due_date,lead_time_days,block_output_value,is_combined,combined_block_id,block_area_m2,aspect_ratio,density_ton_per_m2,est_dt,due_dt,total_window_days,slack_days,urgency_ratio,cluster_id,cluster_name
757,H1088,284,FLAT,20.0,18.4,211.017142857143,2018-03-03,2018-02-24,2018-06-30,72,368.0,,,368.0,1.0869565217391306,0.5734161490683234,2018-02-24,2018-06-30,126,54,0.5714285714285714,2,Type-C (Large Heavy)
758,H1088,294,FLAT,20.0,18.4,211.017142857143,2018-03-03,2018-02-24,2018-06-29,71,368.0,,,368.0,1.0869565217391306,0.5734161490683234,2018-02-24,2018-06-29,125,54,0.568,2,Type-C (Large Heavy)
823,H1088,836,FLAT,6.45,21.691,146.314851714286,2018-03-18,2018-03-17,2018-06-04,53,139.90695,,,139.90695,0.29735835138997746,1.0458011679497408,2018-03-17,2018-06-04,79,26,0.6708860759493671,1,Type-B (Small Light)
822,H1088,826,FLAT,20.852,21.691,240.0,2018-03-18,2018-03-17,2018-06-04,53,452.300732,,,452.300732,0.9613203632843115,0.5306204103158516,2018-03-17,2018-06-04,79,26,0.6708860759493671,2,Type-C (Large Heavy)
819,H1088,101,FLAT,30.66,9.4,240.0,2018-03-25,2018-03-18,2018-06-11,61,288.204,,,288.204,3.2617021276595746,0.8327434733730275,2018-03-18,2018-06-11,85,24,0.7176470588235294,2,Type-C (Large Heavy)
881,H1087,102,FLAT,16.588,12.377,122.386249428571,2018-03-25,2018-03-24,2018-05-09,39,205.309676,,,205.30967600000002,1.340227841964935,0.59610560891719,2018-03-24,2018-05-09,46,7,0.8478260869565217,0,Type-A (Standard Medium)
856,H1088,110,FLAT,13.0,5.487,56.8877625714286,2018-03-25,2018-03-25,2018-05-22,42,71.331,,,71.331,2.3692363768908327,0.7975180857050735,2018-03-25,2018-05-22,58,16,0.7241379310344828,0,Type-A (Standard Medium)
810,H1088,835,FLAT,18.0,17.3,178.082857142857,2018-03-26,2018-03-17,2018-06-17,40,311.4,,,311.40000000000003,1.0404624277456647,0.5718781539590783,2018-03-17,2018-06-17,92,52,0.43478260869565216,3,Type-D (Long-lead Urgent)
809,H1088,825,FLAT,18.455,17.3,182.822007142857,2018-03-26,2018-03-17,2018-06-17,40,319.2715,,,319.2715,1.0667630057803468,0.5726223829651472,2018-03-17,2018-06-17,92,52,0.43478260869565216,3,Type-D (Long-lead Urgent)
847,H1087,272,FLAT,15.89,20.773,195.431322571429,2018-03-27,2018-03-25,2018-06-09,35,330.08297,,,330.08297,0.7649352524912146,0.592067268939773,2018-03-25,2018-06-09,76,41,0.4605263157894737,1,Type-B (Small Light)
803,H1088,694,FLAT,16.7,18.4,176.414285714286,2018-03-31,2018-03-17,2018-06-17,39,307.28,,,307.28,0.907608695652174,0.5741157436679446,2018-03-17,2018-06-17,92,53,0.42391304347826086,3,Type-D (Long-lead Urgent)
802,H1087,684,FLAT,17.5,18.4,184.231428571429,2018-03-31,2018-03-17,2018-06-17,39,322.0,,,322.0,0.9510869565217392,0.5721472937000901,2018-03-17,2018-06-17,92,53,0.42391304347826086,3,Type-D (Long-lead Urgent)
880,H1087,101,CURVED,13.007,16.37,124.902556857143,2018-04-01,2018-03-31,2018-05-09,36,212.92459,,,212.92459,0.7945632254123396,0.5866046606319307,2018-03-31,2018-05-09,39,3,0.9230769230769231,1,Type-B (Small Light)
869,H1088,161,FLAT,14.057,15.486,124.975841428571,2018-04-03,2018-04-02,2018-06-03,32,217.686702,,,217.68670200000003,0.9077231047397649,0.574108754831386,2018-04-02,2018-06-03,62,30,0.5161290322580645,1,Type-B (Small Light)
874,H1088,103,FLAT,24.0,11.0,199.142857142857,2018-04-03,2018-04-02,2018-05-22,39,264.0,,,264.0,2.1818181818181817,0.7543290043290037,2018-04-02,2018-05-22,50,11,0.78,2,Type-C (Large Heavy)
793,H1088,182,FLAT,7.9,19.9,130.977142857143,2018-04-06,2018-03-27,2018-06-20,42,157.21,,,157.21,0.39698492462311563,0.8331349332557916,2018-03-27,2018-06-20,85,43,0.49411764705882355,1,Type-B (Small Light)
794,H1088,192,FLAT,23.8,19.9,240.0,2018-04-06,2018-03-27,2018-06-20,42,473.62,,,473.62,1.1959798994974875,0.5067353574595668,2018-03-27,2018-06-20,85,43,0.49411764705882355,2,Type-C (Large Heavy)
