seq_id,block_id,ship_id,platen_idx,platen_id,platen_name,planned_start_day,planned_end_day,due_day,delay_days,lead_time_days,is_feasible,requested_feasible,status,reward
775,102,H1088,2,BQM4803A,Bay48-S-3,86,121,122,0,35,True,True,ALLOCATED,11.56
826,823,H1088,4,BQM4810A,Bay48-S-10,82,109,111,0,27,True,True,ALLOCATED,13.17
880,101,H1087,3,BQM4808A,Bay48-S-8,35,71,74,0,36,True,True,ALLOCATED,14.4
798,125,H1087,3,BQM4808A,Bay48-S-8,76,110,113,0,34,True,True,ALLOCATED,13.84
780,135,H1087,7,BQM4853A,Bay48-N-3,76,119,123,0,43,True,True,ALLOCATED,12.4
50,102,H1088,2,BQM4803A,Bay48-S-3,339,386,392,0,47,True,True,ALLOCATED,13.61
156,102,H1087,4,BQM4810A,Bay48-S-10,294,337,343,0,43,True,True,ALLOCATED,15.15
79,803,H1088,3,BQM4808A,Bay48-S-8,337,372,377,0,35,True,True,ALLOCATED,14.6
48,803,H1088,4,BQM4810A,Bay48-S-10,352,387,392,0,35,True,True,ALLOCATED,13.01
413,834,H1087,7,BQM4853A,Bay48-N-3,203,236,241,0,33,True,True,ALLOCATED,13.22
434,803,H1087,8,BQM4503A,Bay45-S-3,194,226,231,0,32,True,True,ALLOCATED,13.01
567,102,H1088,9,BQM4504A,Bay45-S-4,153,191,197,0,38,True,True,ALLOCATED,15.54
841,184,H1088,10,BQM4202A,Bay42-S-2,68,98,103,0,30,True,True,ALLOCATED,12.78
352,834,H1087,7,BQM4853A,Bay48-N-3,248,278,283,0,30,True,True,ALLOCATED,13.11
881,102,H1087,11,PPT0001A,0西-1,28,67,74,0,39,True,True,ALLOCATED,13.84
791,832,H1088,11,PPT0001A,0西-1,75,111,118,0,36,True,True,ALLOCATED,12.56
790,822,H1088,12,PPT0002A,0西-3,75,111,118,0,36,True,True,ALLOCATED,14.19
862,103,H1087,8,BQM4503A,Bay45-S-3,226,277,104,173,51,True,True,ALLOCATED,-332.71
840,103,H1088,8,BQM4503A,Bay45-S-3,277,307,103,204,30,True,True,ALLOCATED,-396.36
