seq_id,block_id,ship_id,platen_idx,platen_id,platen_name,planned_start_day,planned_end_day,due_day,delay_days,lead_time_days,is_feasible,reward
762,801,H1088,8,BQM4503A,Bay45-S-3,71,105,129,0,34,True,18.74
406,801,H1088,8,BQM4503A,Bay45-S-3,174,232,250,0,58,True,17.54
408,801,H1088,2,BQM4803A,Bay48-S-3,186,223,247,0,37,True,18.41
407,801,H1088,2,BQM4803A,Bay48-S-3,223,260,248,12,37,True,-10.39
198,801,H1088,8,BQM4503A,Bay45-S-3,268,302,326,0,34,True,18.74
199,801,H1088,2,BQM4803A,Bay48-S-3,268,302,326,0,34,True,18.41
35,801,H1088,8,BQM4503A,Bay45-S-3,313,378,396,0,65,True,17.54
7,801,H1087,2,BQM4803A,Bay48-S-3,329,396,414,0,67,True,17.21
36,801,H1088,8,BQM4503A,Bay45-S-3,378,417,396,21,39,True,-28.06
37,801,H1088,2,BQM4803A,Bay48-S-3,396,435,396,39,39,True,-64.39
200,801,H1088,8,BQM4503A,Bay45-S-3,417,461,318,143,44,True,-272.49
794,192,H1088,2,BQM4803A,Bay48-S-3,435,477,116,361,42,True,-708.87
684,192,H1087,8,BQM4503A,Bay45-S-3,461,501,166,335,40,True,-656.58
379,133,H1087,2,BQM4803A,Bay48-S-3,477,520,263,257,43,True,-500.89
467,103,H1088,2,BQM4803A,Bay48-S-3,520,560,217,343,40,True,-672.9
357,103,H1088,2,BQM4803A,Bay48-S-3,560,603,274,329,43,True,-644.9
862,103,H1087,8,BQM4503A,Bay45-S-3,501,552,104,448,51,True,-882.71
676,103,H1088,8,BQM4503A,Bay45-S-3,552,568,171,397,16,True,-780.71
677,103,H1088,8,BQM4503A,Bay45-S-3,568,584,171,413,16,True,-812.71
572,103,H1087,8,BQM4503A,Bay45-S-3,584,610,201,409,26,True,-804.71
346,103,H1088,2,BQM4803A,Bay48-S-3,603,619,292,327,16,True,-640.98
347,103,H1087,8,BQM4503A,Bay45-S-3,610,626,292,334,16,True,-654.71
237,103,H1087,2,BQM4803A,Bay48-S-3,619,635,318,317,16,True,-620.98
238,103,H1087,8,BQM4503A,Bay45-S-3,626,642,318,324,16,True,-634.71
160,103,H1087,2,BQM4803A,Bay48-S-3,635,665,348,317,30,True,-620.98
53,103,H1088,8,BQM4503A,Bay45-S-3,642,674,396,278,32,True,-542.71
822,826,H1088,4,BQM4810A,Bay48-S-10,21,74,100,0,53,True,19.9
660,826,H1088,4,BQM4810A,Bay48-S-10,99,154,166,0,55,True,17.3
480,826,H1087,4,BQM4810A,Bay48-S-10,154,208,214,0,54,True,16.1
726,133,H1088,2,BQM4803A,Bay48-S-3,665,707,152,555,42,True,-1097.04
799,826,H1087,4,BQM4810A,Bay48-S-10,208,237,112,125,29,True,-235.34
439,826,H1088,4,BQM4810A,Bay48-S-10,237,270,229,41,33,True,-67.34
440,826,H1088,4,BQM4810A,Bay48-S-10,270,303,229,74,33,True,-133.34
