seq_id,block_id,ship_id,platen_idx,platen_id,platen_name,planned_start_day,planned_end_day,due_day,delay_days,lead_time_days,is_feasible,reward
544,631,H1087,2,BQM4803A,Bay48-S-3,145,153,212,0,8,True,16.11
540,621,H1087,3,BQM4808A,Bay48-S-8,146,156,213,0,10,True,17.55
142,621,H1087,2,BQM4803A,Bay48-S-3,288,298,355,0,10,True,15.95
39,621,H1088,2,BQM4803A,Bay48-S-3,337,347,404,0,10,True,15.95
257,221,H1087,4,BQM4810A,Bay48-S-10,258,269,322,0,11,True,18.11
258,221,H1087,7,BQM4853A,Bay48-N-3,258,269,322,0,11,True,17.01
141,631,H1087,3,BQM4808A,Bay48-S-8,285,296,355,0,11,True,18.0
38,631,H1088,3,BQM4808A,Bay48-S-8,334,345,404,0,11,True,18.0
695,221,H1088,8,BQM4503A,Bay45-S-3,108,120,173,0,12,True,16.73
696,221,H1088,9,BQM4504A,Bay45-S-4,108,120,173,0,12,True,18.04
354,221,H1087,8,BQM4503A,Bay45-S-3,232,244,297,0,12,True,17.3
355,221,H1088,9,BQM4504A,Bay45-S-4,232,244,297,0,12,True,18.99
215,622,H1088,8,BQM4503A,Bay45-S-3,267,279,328,0,12,True,16.67
216,622,H1088,9,BQM4504A,Bay45-S-4,267,279,328,0,12,True,17.75
641,622,H1087,10,BQM4202A,Bay42-S-2,124,137,186,0,13,True,18.57
642,622,H1087,11,PPT0001A,0西-1,124,137,186,0,13,True,17.75
607,631,H1087,10,BQM4202A,Bay42-S-2,137,150,189,0,13,True,17.6
608,631,H1087,11,PPT0001A,0西-1,137,150,189,0,13,True,17.0
326,622,H1088,10,BQM4202A,Bay42-S-2,241,254,303,0,13,True,18.57
327,622,H1088,11,PPT0001A,0西-1,241,254,303,0,13,True,17.75
305,631,H1087,10,BQM4202A,Bay42-S-2,254,267,306,0,13,True,17.6
306,631,H1087,11,PPT0001A,0西-1,254,267,306,0,13,True,17.0
201,631,H1088,4,BQM4810A,Bay48-S-10,280,293,332,0,13,True,16.82
202,631,H1088,7,BQM4853A,Bay48-N-3,280,293,332,0,13,True,16.11
688,231,H1087,12,PPT0002A,0西-3,109,123,173,0,14,True,17.72
689,231,H1087,13,PPT0003A,0西-5,109,123,173,0,14,True,17.72
616,632,H1088,12,PPT0002A,0西-3,124,138,188,0,14,True,17.75
617,632,H1088,13,PPT0003A,0西-5,124,138,188,0,14,True,17.75
620,621,H1087,14,PPT0004A,0西-7,137,151,188,0,14,True,16.7
621,621,H1087,15,PPT0051A,0东-2,137,151,188,0,14,True,16.7
627,231,H1088,12,PPT0002A,0西-3,156,170,190,0,14,True,15.49
626,221,H1087,13,PPT0003A,0西-5,156,170,190,0,14,True,15.78
578,132,H1087,12,PPT0002A,0西-3,171,185,205,0,14,True,15.25
577,122,H1087,13,PPT0003A,0西-5,171,185,205,0,14,True,16.05
405,132,H1088,12,PPT0002A,0西-3,228,242,262,0,14,True,15.14
404,122,H1088,13,PPT0003A,0西-5,228,242,262,0,14,True,15.93
349,231,H1087,14,PPT0004A,0西-7,233,247,297,0,14,True,17.72
350,231,H1087,15,PPT0051A,0东-2,233,247,297,0,14,True,17.72
307,632,H1088,16,PPT0052A,0东-4,241,255,305,0,14,True,17.75
308,632,H1088,17,PPT0053A,0东-6,241,255,305,0,14,True,17.75
311,621,H1088,12,PPT0002A,0西-3,254,268,305,0,14,True,16.7
312,621,H1088,13,PPT0003A,0西-5,254,268,305,0,14,True,16.7
243,231,H1088,14,PPT0004A,0西-7,258,272,322,0,14,True,17.72
244,231,H1088,15,PPT0051A,0东-2,258,272,322,0,14,True,17.72
205,632,H1087,16,PPT0052A,0东-4,266,280,330,0,14,True,17.75
206,632,H1087,17,PPT0053A,0东-6,266,280,330,0,14,True,17.75
203,621,H1087,8,BQM4503A,Bay45-S-3,280,294,331,0,14,True,16.03
204,621,H1087,9,BQM4504A,Bay45-S-4,280,294,331,0,14,True,16.7
866,632,H1087,18,PPT0054A,0东-8,47,62,105,0,15,True,17.75
863,622,H1087,19,PPT0055A,0东-10,47,62,106,0,15,True,17.75
824,631,H1088,20,PPT0056A,0东-12,60,75,114,0,15,True,17.0
825,621,H1088,18,PPT0054A,0东-8,62,77,114,0,15,True,16.7
838,623,H1088,19,PPT0055A,0东-10,63,78,111,0,15,True,17.99
839,633,H1088,21,PPT0057A,0东-14,63,78,111,0,15,True,17.99
851,144,H1088,7,BQM4853A,Bay48-N-3,293,308,102,206,15,True,-399.36
556,622,H1087,18,PPT0054A,0东-8,162,177,208,0,15,True,17.75
573,104,H1087,19,PPT0055A,0东-10,170,185,205,0,15,True,16.07
551,623,H1088,20,PPT0056A,0东-12,174,189,211,0,15,True,17.39
552,633,H1088,21,PPT0057A,0东-14,174,189,211,0,15,True,17.39
484,623,H1088,18,PPT0054A,0东-8,181,196,228,0,15,True,17.99
485,633,H1088,22,PPT0058A,0东-16,181,196,228,0,15,True,18.33
476,623,H1087,23,PPT0059A,0东-18,182,197,229,0,15,True,18.33
477,633,H1087,24,PPT0060A,0东-20,182,197,229,0,15,True,18.33
458,653,H1088,18,PPT0054A,0东-8,199,214,232,0,15,True,15.96
457,643,H1088,19,PPT0055A,0东-10,199,214,232,0,15,True,16.43
515,833,H1088,20,PPT0056A,0东-12,202,217,222,0,15,True,12.48
508,833,H1087,21,PPT0057A,0东-14,203,218,223,0,15,True,12.48
401,104,H1087,18,PPT0054A,0东-8,227,242,262,0,15,True,16.07
271,623,H1087,11,PPT0001A,0西-1,267,282,314,0,15,True,17.99
272,623,H1087,18,PPT0054A,0东-8,267,282,314,0,15,True,17.99
273,633,H1087,19,PPT0055A,0东-10,267,282,314,0,15,True,17.99
274,633,H1087,20,PPT0056A,0东-12,267,282,314,0,15,True,17.99
331,833,H1087,10,BQM4202A,Bay42-S-2,283,298,303,0,15,True,12.92
263,653,H1088,11,PPT0001A,0西-1,283,298,316,0,15,True,15.96
264,653,H1088,12,PPT0002A,0西-3,283,298,316,0,15,True,15.96
261,643,H1088,13,PPT0003A,0西-5,283,298,316,0,15,True,16.43
262,643,H1088,14,PPT0004A,0西-7,283,298,316,0,15,True,16.43
178,633,H1087,4,BQM4810A,Bay48-S-10,293,308,340,0,15,True,17.72
179,633,H1088,15,PPT0051A,0东-2,293,308,340,0,15,True,17.99
816,642,H1087,25,PPT1001A,Bay10-S-1,72,88,117,0,16,True,18.27
817,652,H1087,26,PPT1002A,Bay10-S-3,72,88,117,0,16,True,18.27
808,653,H1088,27,PPT1003A,Bay10-S-5,85,101,119,0,16,True,16.08
807,643,H1088,28,PPT1004A,Bay10-S-7,85,101,119,0,16,True,16.57
860,833,H1087,29,PPT1005A,Bay10-S-9,87,103,108,0,16,True,12.56
676,103,H1088,8,BQM4503A,Bay45-S-3,294,310,171,139,16,True,-264.71
677,103,H1088,7,BQM4853A,Bay48-N-3,308,324,171,153,16,True,-292.98
555,632,H1087,25,PPT1001A,Bay10-S-1,160,176,208,0,16,True,17.89
525,832,H1087,26,PPT1002A,Bay10-S-3,171,187,218,0,16,True,16.21
524,822,H1087,27,PPT1003A,Bay10-S-5,171,187,218,0,16,True,17.87
520,832,H1088,28,PPT1004A,Bay10-S-7,172,188,219,0,16,True,16.21
519,822,H1088,29,PPT1005A,Bay10-S-9,172,188,219,0,16,True,17.87
478,642,H1087,25,PPT1001A,Bay10-S-1,184,200,229,0,16,True,18.27
479,652,H1087,30,PPT1006A,Bay10-S-11,184,200,229,0,16,True,18.27
473,642,H1088,31,PPT1007A,Bay10-S-13,185,201,230,0,16,True,18.63
474,652,H1088,32,PPT1008A,Bay10-S-15,185,201,230,0,16,True,18.63
465,653,H1087,22,PPT0058A,0东-16,197,213,231,0,16,True,16.23
464,643,H1087,23,PPT0059A,0东-18,197,213,231,0,16,True,16.74
342,122,H1088,21,PPT0057A,0东-14,238,254,292,0,16,True,17.26
343,122,H1088,22,PPT0058A,0东-16,238,254,292,0,16,True,17.51
344,132,H1088,23,PPT0059A,0东-18,238,254,292,0,16,True,18.06
345,132,H1088,24,PPT0060A,0东-20,238,254,292,0,16,True,18.06
346,103,H1088,8,BQM4503A,Bay45-S-3,310,326,292,34,16,True,-54.71
347,103,H1087,7,BQM4853A,Bay48-N-3,324,340,292,48,16,True,-82.98
338,832,H1087,25,PPT1001A,Bay10-S-1,253,269,300,0,16,True,16.21
337,822,H1087,26,PPT1002A,Bay10-S-3,253,269,300,0,16,True,17.87
335,832,H1087,21,PPT0057A,0东-14,254,270,301,0,16,True,16.15
334,822,H1087,22,PPT0058A,0东-16,254,270,301,0,16,True,18.04
237,103,H1087,8,BQM4503A,Bay45-S-3,326,342,318,24,16,True,-34.71
238,103,H1087,7,BQM4853A,Bay48-N-3,340,356,318,38,16,True,-62.98
275,642,H1088,23,PPT0059A,0东-18,269,285,314,0,16,True,18.46
276,642,H1088,24,PPT0060A,0东-20,269,285,314,0,16,True,18.46
277,652,H1088,25,PPT1001A,Bay10-S-1,269,285,314,0,16,True,18.27
278,652,H1088,26,PPT1002A,Bay10-S-3,269,285,314,0,16,True,18.27
323,833,H1088,16,PPT0052A,0东-4,284,300,305,0,16,True,12.48
182,623,H1088,17,PPT0053A,0东-6,291,307,339,0,16,True,17.99
183,623,H1088,18,PPT0054A,0东-8,291,307,339,0,16,True,17.99
832,182,H1087,8,BQM4503A,Bay45-S-3,342,359,113,246,17,True,-480.79
833,192,H1087,33,PPT1009A,Bay10-S-17,72,89,113,0,17,True,16.21
749,161,H1087,33,PPT1009A,Bay10-S-17,104,121,146,0,17,True,16.8
750,161,H1087,34,PPT1010A,Bay10-S-19,104,121,146,0,17,True,16.8
751,171,H1087,35,PPT1011A,Bay10-S-21,104,121,146,0,17,True,17.17
752,171,H1087,36,PPT1012A,Bay10-S-23,104,121,146,0,17,True,17.17
672,122,H1087,37,PPT1013A,Bay10-S-25,116,133,171,0,17,True,17.63
673,122,H1087,38,PPT1051A,Bay10-N-2,116,133,171,0,17,True,17.37
674,132,H1087,39,PPT1052A,Bay10-N-4,116,133,171,0,17,True,17.89
675,132,H1088,40,PPT1053A,Bay10-N-6,116,133,171,0,17,True,17.89
553,182,H1088,33,PPT1009A,Bay10-S-17,163,180,210,0,17,True,17.03
554,192,H1088,34,PPT1010A,Bay10-S-19,163,180,210,0,17,True,16.41
422,231,H1088,27,PPT1003A,Bay10-S-5,210,227,247,0,17,True,15.56
421,221,H1088,28,PPT1004A,Bay10-S-7,210,227,247,0,17,True,15.87
233,122,H1088,27,PPT1003A,Bay10-S-5,263,280,318,0,17,True,17.37
234,122,H1088,28,PPT1004A,Bay10-S-7,263,280,318,0,17,True,17.37
235,132,H1087,29,PPT1005A,Bay10-S-9,263,280,318,0,17,True,17.89
236,132,H1087,30,PPT1006A,Bay10-S-11,263,280,318,0,17,True,17.89
290,112,H1087,21,PPT0057A,0东-14,276,293,305,0,17,True,14.55
291,112,H1088,22,PPT0058A,0东-16,276,293,305,0,17,True,14.79
159,622,H1087,9,BQM4504A,Bay45-S-4,302,319,350,0,17,True,17.75
112,833,H1087,2,BQM4803A,Bay48-S-3,350,367,372,0,17,True,11.82
113,833,H1087,3,BQM4808A,Bay48-S-8,350,367,372,0,17,True,13.22
52,622,H1088,4,BQM4810A,Bay48-S-10,351,368,399,0,17,True,17.5
21,653,H1087,7,BQM4853A,Bay48-N-3,365,382,409,0,17,True,16.31
32,643,H1087,8,BQM4503A,Bay45-S-3,365,382,406,0,17,True,16.51
20,652,H1087,9,BQM4504A,Bay45-S-4,365,382,409,0,17,True,18.11
31,642,H1087,11,PPT0001A,0西-1,365,382,406,0,17,True,17.91
873,832,H1088,41,PPT1054A,Bay10-N-8,55,73,101,0,18,True,16.21
872,822,H1088,42,PPT1055A,Bay10-N-10,55,73,101,0,18,True,17.87
875,161,H1087,43,PPT1056A,Bay10-N-12,68,86,96,0,18,True,13.62
876,171,H1087,44,PPT1057A,Bay10-N-14,68,86,96,0,18,True,13.96
845,182,H1087,41,PPT1054A,Bay10-N-8,74,92,109,0,18,True,16.78
846,192,H1087,42,PPT1055A,Bay10-N-10,74,92,109,0,18,True,15.26
814,112,H1087,50,PPT0801A,Bay8-S-1,82,100,112,0,18,True,14.45
837,823,H1088,43,PPT1056A,Bay10-N-12,87,105,113,0,18,True,14.5
609,182,H1087,50,PPT0801A,Bay8-S-1,147,165,189,0,18,True,16.54
610,182,H1087,51,PPT0802A,Bay8-S-3,147,165,189,0,18,True,16.62
611,192,H1088,35,PPT1011A,Bay10-S-21,147,165,189,0,18,True,16.21
612,192,H1088,36,PPT1012A,Bay10-S-23,147,165,189,0,18,True,16.21
593,112,H1087,52,PPT0803A,Bay8-S-5,158,176,188,0,18,True,14.45
594,112,H1087,53,PPT0804A,Bay8-S-7,158,176,188,0,18,True,14.45
583,112,H1088,54,PPT0807A,Bay8-S-13,160,178,195,0,18,True,15.45
430,832,H1087,33,PPT1009A,Bay10-S-17,193,211,244,0,18,True,16.34
431,833,H1087,34,PPT1010A,Bay10-S-19,193,211,244,0,18,True,16.73
428,822,H1087,35,PPT1011A,Bay10-S-21,193,211,244,0,18,True,18.19
429,823,H1087,36,PPT1012A,Bay10-S-23,193,211,244,0,18,True,18.23
396,161,H1087,31,PPT1007A,Bay10-S-13,231,249,269,0,18,True,16.0
397,171,H1087,50,PPT0801A,Bay8-S-1,231,249,269,0,18,True,15.87
297,182,H1088,31,PPT1007A,Bay10-S-13,265,283,307,0,18,True,16.62
298,182,H1088,32,PPT1008A,Bay10-S-15,265,283,307,0,18,True,16.73
299,192,H1087,33,PPT1009A,Bay10-S-17,265,283,307,0,18,True,16.21
300,192,H1087,34,PPT1010A,Bay10-S-19,265,283,307,0,18,True,16.21
294,823,H1088,19,PPT0055A,0东-10,283,301,309,0,18,True,14.36
293,823,H1088,20,PPT0056A,0东-12,284,302,310,0,18,True,14.36
855,834,H1088,45,PPT1058A,Bay10-N-16,83,102,108,0,19,True,12.46
854,824,H1088,46,PPT1059A,Bay10-N-18,83,102,108,0,19,True,13.37
723,182,H1088,41,PPT1054A,Bay10-N-8,115,134,159,0,19,True,18.21
724,192,H1088,42,PPT1055A,Bay10-N-10,115,134,159,0,19,True,16.86
717,182,H1087,43,PPT1056A,Bay10-N-12,116,135,160,0,19,True,18.03
718,192,H1087,44,PPT1057A,Bay10-N-14,116,135,160,0,19,True,16.86
654,183,H1087,37,PPT1013A,Bay10-S-25,141,160,179,0,19,True,15.29
655,193,H1087,38,PPT1051A,Bay10-N-2,141,160,179,0,19,True,16.37
546,161,H1087,37,PPT1013A,Bay10-S-25,173,192,212,0,19,True,16.0
547,171,H1088,51,PPT0802A,Bay8-S-3,173,192,212,0,19,True,15.87
426,834,H1088,37,PPT1013A,Bay10-S-25,192,211,244,0,19,True,16.4
425,824,H1088,38,PPT1051A,Bay10-N-2,192,211,244,0,19,True,17.17
412,653,H1087,39,PPT1052A,Bay10-N-4,205,224,251,0,19,True,17.48
417,643,H1087,40,PPT1053A,Bay10-N-6,205,224,248,0,19,True,17.77
