block_id,ship_id,platen_idx,platen_id,platen_name,planned_start_day,planned_end_day,due_day,delay_days,lead_time_days
284,H1088,47,PPT1060A,Bay10-N-20,0,72,126,0,72
294,H1088,17,PPT0053A,0东-6,0,71,125,0,71
836,H1088,63,PPT0862A,Bay8-N-24,21,74,100,0,53
826,H1088,4,BQM4810A,Bay48-S-10,21,74,100,0,53
835,H1088,49,PPT1062A,Bay10-N-24,21,61,113,0,40
825,H1088,50,PPT0801A,Bay8-S-1,21,61,113,0,40
694,H1088,22,PPT0058A,0东-16,21,60,113,0,39
684,H1087,23,PPT0059A,0东-18,21,60,113,0,39
101,H1088,2,BQM4803A,Bay48-S-3,22,83,107,0,61
102,H1087,35,PPT1011A,Bay10-S-21,28,67,74,0,39
110,H1088,36,PPT1012A,Bay10-S-23,29,71,87,0,42
272,H1087,51,PPT0802A,Bay8-S-3,29,64,105,0,35
182,H1088,18,PPT0054A,0东-8,31,73,116,0,42
192,H1088,2,BQM4803A,Bay48-S-3,131,173,116,57,42
154,H1088,8,BQM4503A,Bay45-S-3,86,126,115,11,40
683,H1087,21,PPT0057A,0东-14,31,56,108,0,25
693,H1087,20,PPT0056A,0东-12,31,56,108,0,25
101,H1087,10,BQM4202A,Bay42-S-2,35,71,74,0,36
134,H1088,11,PPT0001A,0西-1,36,81,111,0,45
124,H1088,32,PPT1008A,Bay10-S-15,36,81,111,0,45
173,H1088,19,PPT0055A,0东-10,36,65,99,0,29
163,H1088,33,PPT1009A,Bay10-S-17,36,65,100,0,29
103,H1088,7,BQM4853A,Bay48-N-3,37,76,87,0,39
161,H1088,9,BQM4504A,Bay45-S-4,37,69,99,0,32
143,H1087,26,PPT1002A,Bay10-S-3,38,83,107,0,45
153,H1087,48,PPT1061A,Bay10-N-22,38,83,107,0,45
132,H1087,3,BQM4808A,Bay48-S-8,42,69,107,0,27
122,H1087,55,PPT0808A,Bay8-S-15,42,66,104,0,24
103,H1087,8,BQM4503A,Bay45-S-3,126,177,104,73,51
111,H1088,7,BQM4853A,Bay48-N-3,101,141,115,26,40
801,H1087,52,PPT0803A,Bay8-S-5,46,96,113,0,50
112,H1088,24,PPT0060A,0东-20,46,72,85,0,26
144,H1087,25,PPT1001A,Bay10-S-1,46,70,100,0,24
154,H1087,59,PPT0857A,Bay8-N-14,46,70,100,0,24
632,H1087,56,PPT0809A,Bay8-S-17,47,62,105,0,15
622,H1087,61,PPT0859A,Bay8-N-18,47,62,106,0,15
101,H1087,31,PPT1007A,Bay10-S-13,48,77,86,0,29
102,H1088,8,BQM4503A,Bay45-S-3,49,86,94,0,37
154,H1088,57,PPT0810A,Bay8-S-19,50,101,133,0,51
144,H1088,62,PPT0861A,Bay8-N-22,80,129,132,0,49
834,H1087,7,BQM4853A,Bay48-N-3,76,101,105,0,25
824,H1088,64,PPT0863A,Bay8-N-26,50,75,105,0,25
835,H1087,61,PPT0859A,Bay8-N-18,62,90,101,0,28
825,H1088,62,PPT0861A,Bay8-N-22,52,80,101,0,28
134,H1088,2,BQM4803A,Bay48-S-3,83,131,132,0,48
124,H1087,65,PPT0864A,Bay8-N-28,53,100,131,0,47
832,H1087,58,PPT0811A,Bay8-S-21,53,76,94,0,23
822,H1087,60,PPT0858A,Bay8-N-16,53,76,94,0,23
143,H1087,37,PPT1013A,Bay10-S-25,53,75,105,0,22
153,H1087,49,PPT1062A,Bay10-N-24,61,83,105,0,22
835,H1088,12,PPT0002A,0西-3,54,76,103,0,22
825,H1088,13,PPT0003A,0西-5,54,76,103,0,22
183,H1087,14,PPT0004A,0西-7,54,76,118,0,22
