seq_id,block_id,ship_id,platen_idx,platen_id,platen_name,planned_start_day,planned_end_day,due_day,delay_days,lead_time_days,is_feasible,requested_feasible,status,reward
757,284,H1088,16,PPT0052A,0东-4,0,72,126,0,72,True,True,ALLOCATED,19.38
758,294,H1088,13,PPT0003A,0西-5,0,71,125,0,71,True,True,ALLOCATED,19.38
823,836,H1088,61,PPT0859A,Bay8-N-18,21,74,100,0,53,True,True,ALLOCATED,16.59
822,826,H1088,4,BQM4810A,Bay48-S-10,21,74,100,0,53,True,True,ALLOCATED,19.9
810,835,H1088,43,PPT1056A,Bay10-N-12,21,61,113,0,40,True,True,ALLOCATED,18.89
809,825,H1088,47,PPT1060A,Bay10-N-20,21,61,113,0,40,True,True,ALLOCATED,18.99
803,694,H1088,18,PPT0054A,0东-8,21,60,113,0,39,True,True,ALLOCATED,18.66
802,684,H1087,16,PPT0052A,0东-4,72,111,113,0,39,True,True,ALLOCATED,14.23
819,101,H1088,7,BQM4853A,Bay48-N-3,22,83,107,0,61,True,True,ALLOCATED,16.71
881,102,H1087,20,PPT0056A,0东-12,28,67,74,0,39,True,True,ALLOCATED,13.84
856,110,H1088,35,PPT1011A,Bay10-S-21,29,71,87,0,42,True,True,ALLOCATED,14.19
847,272,H1087,13,PPT0003A,0西-5,71,106,105,1,35,True,True,ALLOCATED,11.93
793,182,H1088,34,PPT1010A,Bay10-S-19,31,73,116,0,42,True,True,ALLOCATED,17.18
794,192,H1088,2,BQM4803A,Bay48-S-3,31,73,116,0,42,True,True,ALLOCATED,18.13
792,154,H1088,7,BQM4853A,Bay48-N-3,83,123,115,8,40,True,True,ALLOCATED,-3.31
828,683,H1087,27,PPT1003A,Bay10-S-5,31,56,108,0,25,True,True,ALLOCATED,18.92
829,693,H1087,34,PPT1010A,Bay10-S-19,73,98,108,0,25,True,True,ALLOCATED,16.36
880,101,H1087,21,PPT0057A,0东-14,35,71,74,0,36,True,True,ALLOCATED,13.13
804,134,H1088,19,PPT0055A,0东-10,36,81,111,0,45,True,True,ALLOCATED,19.25
805,124,H1088,43,PPT1056A,Bay10-N-12,61,106,111,0,45,True,True,ALLOCATED,14.8
870,173,H1088,34,PPT1010A,Bay10-S-19,98,127,99,28,29,True,True,ALLOCATED,-43.46
867,163,H1088,11,PPT0001A,0西-1,36,65,100,0,29,True,True,ALLOCATED,17.18
874,103,H1088,7,BQM4853A,Bay48-N-3,123,162,87,75,39,True,True,ALLOCATED,-138.25
869,161,H1088,31,PPT1007A,Bay10-S-13,37,69,99,0,32,True,True,ALLOCATED,18.02
830,143,H1087,38,PPT1051A,Bay10-N-2,38,83,107,0,45,True,True,ALLOCATED,17.76
831,153,H1087,41,PPT1054A,Bay10-N-8,38,83,107,0,45,True,True,ALLOCATED,18.65
848,132,H1087,37,PPT1013A,Bay10-S-25,42,69,107,0,27,True,True,ALLOCATED,18.21
861,122,H1087,31,PPT1007A,Bay10-S-13,69,93,104,0,24,True,True,ALLOCATED,14.83
862,103,H1087,7,BQM4853A,Bay48-N-3,162,213,104,109,51,True,True,ALLOCATED,-204.98
787,111,H1088,8,BQM4503A,Bay45-S-3,45,85,115,0,40,True,True,ALLOCATED,17.21
797,801,H1087,52,PPT0803A,Bay8-S-5,46,96,113,0,50,True,True,ALLOCATED,17.02
857,112,H1088,18,PPT0054A,0东-8,60,86,85,1,26,True,True,ALLOCATED,9.29
864,144,H1087,34,PPT1010A,Bay10-S-19,127,151,100,51,24,True,True,ALLOCATED,-88.63
865,154,H1087,34,PPT1010A,Bay10-S-19,151,175,100,75,24,True,True,ALLOCATED,-135.67
866,632,H1087,65,PPT0864A,Bay8-N-28,47,62,105,0,15,True,True,ALLOCATED,17.63
863,622,H1087,18,PPT0054A,0东-8,86,101,106,0,15,True,True,ALLOCATED,13.75
879,101,H1087,43,PPT1056A,Bay10-N-12,106,135,86,49,29,True,True,ALLOCATED,-86.75
871,102,H1088,8,BQM4503A,Bay45-S-3,85,122,94,28,37,True,True,ALLOCATED,-43.21
759,154,H1088,29,PPT1005A,Bay10-S-9,50,101,133,0,51,True,True,ALLOCATED,18.98
760,144,H1088,37,PPT1013A,Bay10-S-25,69,118,132,0,49,True,True,ALLOCATED,16.62
843,834,H1087,8,BQM4503A,Bay45-S-3,122,147,105,42,25,True,True,ALLOCATED,-71.43
842,824,H1088,3,BQM4808A,Bay48-S-8,50,75,105,0,25,True,True,ALLOCATED,18.51
859,835,H1087,8,BQM4503A,Bay45-S-3,147,175,101,74,28,True,True,ALLOCATED,-137.31
858,825,H1088,16,PPT0052A,0东-4,111,139,101,38,28,True,True,ALLOCATED,-62.53
761,134,H1088,7,BQM4853A,Bay48-N-3,213,261,132,129,48,True,True,ALLOCATED,-245.83
765,124,H1087,35,PPT1011A,Bay10-S-21,71,118,131,0,47,True,True,ALLOCATED,16.31
878,832,H1087,26,PPT1002A,Bay10-S-3,53,76,94,0,23,True,True,ALLOCATED,15.53
877,822,H1087,22,PPT0058A,0东-16,53,76,94,0,23,True,True,ALLOCATED,15.32
849,143,H1087,25,PPT1001A,Bay10-S-1,53,75,105,0,22,True,True,ALLOCATED,17.71
850,153,H1087,15,PPT0051A,0东-2,53,75,105,0,22,True,True,ALLOCATED,18.49
853,835,H1088,34,PPT1010A,Bay10-S-19,175,197,103,94,22,True,True,ALLOCATED,-176.26
852,825,H1088,25,PPT1001A,Bay10-S-1,75,97,103,0,22,True,True,ALLOCATED,15.26
795,183,H1087,4,BQM4810A,Bay48-S-10,74,96,118,0,22,True,True,ALLOCATED,15.91
796,193,H1087,25,PPT1001A,Bay10-S-1,97,119,118,1,22,True,True,ALLOCATED,11.11
815,283,H1087,3,BQM4808A,Bay48-S-8,75,106,113,0,31,True,True,ALLOCATED,15.88
811,293,H1087,8,BQM4503A,Bay45-S-3,175,206,114,92,31,True,True,ALLOCATED,-171.03
873,832,H1088,14,PPT0004A,0西-7,55,73,101,0,18,True,True,ALLOCATED,16.15
872,822,H1088,36,PPT1012A,Bay10-S-23,55,73,101,0,18,True,True,ALLOCATED,18.19
771,628,H1088,45,PPT1058A,Bay10-N-16,59,82,128,0,23,True,True,ALLOCATED,18.9
772,638,H1088,21,PPT0057A,0东-14,71,94,128,0,23,True,True,ALLOCATED,18.71
812,803,H1087,54,PPT0807A,Bay8-S-13,60,90,108,0,30,True,True,ALLOCATED,17.3
824,631,H1088,10,BQM4202A,Bay42-S-2,60,75,114,0,15,True,True,ALLOCATED,17.6
789,273,H1088,36,PPT1012A,Bay10-S-23,73,98,121,0,25,True,True,ALLOCATED,18.38
788,263,H1088,18,PPT0054A,0东-8,101,126,121,5,25,True,True,ALLOCATED,3.71
825,621,H1088,52,PPT0803A,Bay8-S-5,96,111,114,0,15,True,True,ALLOCATED,12.22
838,623,H1088,22,PPT0058A,0东-16,76,91,111,0,15,True,True,ALLOCATED,17.33
