seq_id,block_id,ship_id,platen_idx,platen_id,platen_name,planned_start_day,planned_end_day,due_day,delay_days,lead_time_days,is_feasible,requested_feasible,status,reward
757,284,H1088,38,PPT1051A,Bay10-N-2,0,72,126,0,72,True,True,ALLOCATED,19.6
758,294,H1088,25,PPT1001A,Bay10-S-1,0,71,125,0,71,True,True,ALLOCATED,19.6
823,836,H1088,64,PPT0863A,Bay8-N-26,21,74,100,0,53,True,True,ALLOCATED,16.59
822,826,H1088,4,BQM4810A,Bay48-S-10,21,74,100,0,53,True,True,ALLOCATED,19.9
810,835,H1088,47,PPT1060A,Bay10-N-20,21,61,113,0,40,True,True,ALLOCATED,18.89
809,825,H1088,57,PPT0810A,Bay8-S-19,21,61,113,0,40,True,True,ALLOCATED,18.63
803,694,H1088,31,PPT1007A,Bay10-S-13,21,60,113,0,39,True,True,ALLOCATED,19.27
802,684,H1087,8,BQM4503A,Bay45-S-3,21,60,113,0,39,True,True,ALLOCATED,17.32
819,101,H1088,8,BQM4503A,Bay45-S-3,60,121,107,14,61,True,True,ALLOCATED,-15.92
881,102,H1087,48,PPT1061A,Bay10-N-22,28,67,74,0,39,True,True,ALLOCATED,13.97
856,110,H1088,62,PPT0861A,Bay8-N-22,29,71,87,0,42,True,True,ALLOCATED,14.01
847,272,H1087,4,BQM4810A,Bay48-S-10,74,109,105,4,35,True,True,ALLOCATED,5.57
793,182,H1088,45,PPT1058A,Bay10-N-16,31,73,116,0,42,True,True,ALLOCATED,16.97
794,192,H1088,7,BQM4853A,Bay48-N-3,31,73,116,0,42,True,True,ALLOCATED,18.13
792,154,H1088,8,BQM4503A,Bay45-S-3,121,161,115,46,40,True,True,ALLOCATED,-79.06
828,683,H1087,38,PPT1051A,Bay10-N-2,72,97,108,0,25,True,True,ALLOCATED,16.12
829,693,H1087,15,PPT0051A,0东-2,31,56,108,0,25,True,True,ALLOCATED,18.73
880,101,H1087,61,PPT0859A,Bay8-N-18,35,71,74,0,36,True,True,ALLOCATED,13.02
804,134,H1088,20,PPT0056A,0东-12,36,81,111,0,45,True,True,ALLOCATED,19.25
805,124,H1088,48,PPT1061A,Bay10-N-22,67,112,111,1,45,True,True,ALLOCATED,11.8
870,173,H1088,32,PPT1008A,Bay10-S-15,36,65,99,0,29,True,True,ALLOCATED,17.54
867,163,H1088,25,PPT1001A,Bay10-S-1,71,100,100,0,29,True,True,ALLOCATED,12.28
874,103,H1088,7,BQM4853A,Bay48-N-3,73,112,87,25,39,True,True,ALLOCATED,-38.25
869,161,H1088,59,PPT0857A,Bay8-N-14,37,69,99,0,32,True,True,ALLOCATED,17.47
830,143,H1087,60,PPT0858A,Bay8-N-16,38,83,107,0,45,True,True,ALLOCATED,17.49
831,153,H1087,18,PPT0054A,0东-8,38,83,107,0,45,True,True,ALLOCATED,18.47
848,132,H1087,24,PPT0060A,0东-20,42,69,107,0,27,True,True,ALLOCATED,18.06
861,122,H1087,17,PPT0053A,0东-6,42,66,104,0,24,True,True,ALLOCATED,17.26
862,103,H1087,7,BQM4853A,Bay48-N-3,112,163,104,59,51,True,True,ALLOCATED,-104.98
787,111,H1088,8,BQM4503A,Bay45-S-3,161,201,115,86,40,True,True,ALLOCATED,-159.79
797,801,H1087,9,BQM4504A,Bay45-S-4,46,96,113,0,50,True,True,ALLOCATED,17.19
