seq_id,block_id,ship_id,platen_idx,platen_id,platen_name,planned_start_day,planned_end_day,due_day,delay_days,lead_time_days,is_feasible,requested_feasible,status,reward
757,284,H1088,62,PPT0861A,Bay8-N-22,0,72,126,0,72,True,True,ALLOCATED,18.74
758,294,H1088,18,PPT0054A,0东-8,0,71,125,0,71,True,True,ALLOCATED,18.77
823,836,H1088,55,PPT0808A,Bay8-S-15,21,74,100,0,53,True,True,ALLOCATED,15.84
822,826,H1088,7,BQM4853A,Bay48-N-3,21,74,100,0,53,True,True,ALLOCATED,17.12
810,835,H1088,17,PPT0053A,0东-6,21,61,113,0,40,True,True,ALLOCATED,17.77
809,825,H1088,20,PPT0056A,0东-12,21,61,113,0,40,True,True,ALLOCATED,17.81
803,694,H1088,53,PPT0804A,Bay8-S-7,21,60,113,0,39,True,True,ALLOCATED,17.45
802,684,H1087,38,PPT1051A,Bay10-N-2,21,60,113,0,39,True,True,ALLOCATED,17.93
819,101,H1088,2,BQM4803A,Bay48-S-3,22,83,107,0,61,True,True,ALLOCATED,15.52
881,102,H1087,51,PPT0802A,Bay8-S-3,28,67,74,0,39,True,True,ALLOCATED,12.5
856,110,H1088,24,PPT0060A,0东-20,29,71,87,0,42,True,True,ALLOCATED,12.86
847,272,H1087,56,PPT0809A,Bay8-S-17,29,64,105,0,35,True,True,ALLOCATED,17.43
793,182,H1088,3,BQM4808A,Bay48-S-8,31,73,116,0,42,True,True,ALLOCATED,16.44
794,192,H1088,8,BQM4503A,Bay45-S-3,31,73,116,0,42,True,True,ALLOCATED,17.0
792,154,H1088,7,BQM4853A,Bay48-N-3,74,114,115,0,40,True,True,ALLOCATED,11.39
828,683,H1087,20,PPT0056A,0东-12,61,86,108,0,25,True,True,ALLOCATED,16.6
829,693,H1087,12,PPT0002A,0西-3,31,56,108,0,25,True,True,ALLOCATED,17.18
880,101,H1087,57,PPT0810A,Bay8-S-19,35,71,74,0,36,True,True,ALLOCATED,11.44
804,134,H1088,46,PPT1059A,Bay10-N-18,36,81,111,0,45,True,True,ALLOCATED,17.84
