seq_id,block_id,ship_id,platen_idx,platen_id,platen_name,planned_start_day,planned_end_day,due_day,delay_days,lead_time_days,is_feasible,requested_feasible,status,reward
757,284,H1088,2,BQM4803A,Bay48-S-3,0,72,126,0,72,True,True,ALLOCATED,17.43
758,294,H1088,4,BQM4810A,Bay48-S-10,0,71,125,0,71,True,True,ALLOCATED,18.98
823,836,H1088,7,BQM4853A,Bay48-N-3,21,74,100,0,53,True,True,ALLOCATED,15.93
822,826,H1088,8,BQM4503A,Bay45-S-3,21,74,100,0,53,True,True,ALLOCATED,18.26
810,835,H1088,9,BQM4504A,Bay45-S-4,21,61,113,0,40,True,True,ALLOCATED,18.71
809,825,H1088,11,PPT0001A,0西-1,21,61,113,0,40,True,True,ALLOCATED,18.8
803,694,H1088,12,PPT0002A,0西-3,21,60,113,0,39,True,True,ALLOCATED,18.66
802,684,H1087,13,PPT0003A,0西-5,21,60,113,0,39,True,True,ALLOCATED,18.83
819,101,H1088,2,BQM4803A,Bay48-S-3,72,133,107,26,61,True,True,ALLOCATED,-40.09
881,102,H1087,3,BQM4808A,Bay48-S-8,28,67,74,0,39,True,True,ALLOCATED,15.07
856,110,H1088,10,BQM4202A,Bay42-S-2,29,71,87,0,42,True,True,ALLOCATED,14.3
847,272,H1087,14,PPT0004A,0西-7,29,64,105,0,35,True,True,ALLOCATED,18.93
793,182,H1088,15,PPT0051A,0东-2,31,73,116,0,42,True,True,ALLOCATED,16.87
794,192,H1088,7,BQM4853A,Bay48-N-3,74,116,116,0,42,True,True,ALLOCATED,13.13
792,154,H1088,8,BQM4503A,Bay45-S-3,74,114,115,0,40,True,True,ALLOCATED,13.14
828,683,H1087,16,PPT0052A,0东-4,31,56,108,0,25,True,True,ALLOCATED,18.73
829,693,H1087,17,PPT0053A,0东-6,31,56,108,0,25,True,True,ALLOCATED,18.73
880,101,H1087,18,PPT0054A,0东-8,35,71,74,0,36,True,True,ALLOCATED,13.13
804,134,H1088,19,PPT0055A,0东-10,36,81,111,0,45,True,True,ALLOCATED,19.25
805,124,H1088,20,PPT0056A,0东-12,36,81,111,0,45,True,True,ALLOCATED,18.62
870,173,H1088,21,PPT0057A,0东-14,36,65,99,0,29,True,True,ALLOCATED,17.18
867,163,H1088,22,PPT0058A,0东-16,36,65,100,0,29,True,True,ALLOCATED,17.42
874,103,H1088,8,BQM4503A,Bay45-S-3,114,153,87,66,39,True,True,ALLOCATED,-120.1
869,161,H1088,23,PPT0059A,0东-18,37,69,99,0,32,True,True,ALLOCATED,17.88
830,143,H1087,24,PPT0060A,0东-20,38,83,107,0,45,True,True,ALLOCATED,17.93
831,153,H1087,25,PPT1001A,Bay10-S-1,38,83,107,0,45,True,True,ALLOCATED,18.65
848,132,H1087,26,PPT1002A,Bay10-S-3,42,69,107,0,27,True,True,ALLOCATED,17.89
861,122,H1087,27,PPT1003A,Bay10-S-5,42,66,104,0,24,True,True,ALLOCATED,17.37
862,103,H1087,7,BQM4853A,Bay48-N-3,116,167,104,63,51,True,True,ALLOCATED,-112.98
787,111,H1088,2,BQM4803A,Bay48-S-3,133,173,115,58,40,True,True,ALLOCATED,-103.97
797,801,H1087,50,PPT0801A,Bay8-S-1,46,96,113,0,50,True,True,ALLOCATED,17.02
857,112,H1088,51,PPT0802A,Bay8-S-3,46,72,85,0,26,True,True,ALLOCATED,13.83
864,144,H1087,28,PPT1004A,Bay10-S-7,46,70,100,0,24,True,True,ALLOCATED,18.04
865,154,H1087,29,PPT1005A,Bay10-S-9,46,70,100,0,24,True,True,ALLOCATED,18.89
866,632,H1087,30,PPT1006A,Bay10-S-11,47,62,105,0,15,True,True,ALLOCATED,17.89
863,622,H1087,31,PPT1007A,Bay10-S-13,47,62,106,0,15,True,True,ALLOCATED,18.21
879,101,H1087,32,PPT1008A,Bay10-S-15,48,77,86,0,29,True,True,ALLOCATED,13.18
871,102,H1088,8,BQM4503A,Bay45-S-3,153,190,94,96,37,True,True,ALLOCATED,-179.21
759,154,H1088,33,PPT1009A,Bay10-S-17,50,101,133,0,51,True,True,ALLOCATED,19.42
760,144,H1088,34,PPT1010A,Bay10-S-19,50,99,132,0,49,True,True,ALLOCATED,18.82
843,834,H1087,7,BQM4853A,Bay48-N-3,167,192,105,87,25,True,True,ALLOCATED,-161.64
842,824,H1088,35,PPT1011A,Bay10-S-21,50,75,105,0,25,True,True,ALLOCATED,17.73
859,835,H1087,36,PPT1012A,Bay10-S-23,52,80,101,0,28,True,True,ALLOCATED,15.52
858,825,H1088,37,PPT1013A,Bay10-S-25,52,80,101,0,28,True,True,ALLOCATED,18.25
761,134,H1088,2,BQM4803A,Bay48-S-3,173,221,132,89,48,True,True,ALLOCATED,-165.83
765,124,H1087,38,PPT1051A,Bay10-N-2,53,100,131,0,47,True,True,ALLOCATED,18.34
878,832,H1087,39,PPT1052A,Bay10-N-4,53,76,94,0,23,True,True,ALLOCATED,15.53
877,822,H1087,40,PPT1053A,Bay10-N-6,53,76,94,0,23,True,True,ALLOCATED,15.22
849,143,H1087,41,PPT1054A,Bay10-N-8,53,75,105,0,22,True,True,ALLOCATED,17.71
850,153,H1087,42,PPT1055A,Bay10-N-10,53,75,105,0,22,True,True,ALLOCATED,18.67
