seq_id,block_id,ship_id,platen_idx,platen_id,platen_name,planned_start_day,planned_end_day,due_date_day,delay_days,processing_time_days,is_feasible,status
1,262,H1087,42,PPT1055A,Bay10-N-10,368,407,427,0,39,True,ALLOCATED
2,272,H1087,38,PPT1051A,Bay10-N-2,368,407,427,0,39,True,ALLOCATED
4,154,H1087,20,PPT0056A,0东-12,355,402,420,0,47,True,ALLOCATED
5,261,H1087,54,PPT0807A,Bay8-S-13,360,397,418,0,37,True,ALLOCATED
6,271,H1087,26,PPT1002A,Bay10-S-3,358,395,418,0,37,True,ALLOCATED
7,801,H1087,8,BQM4503A,Bay45-S-3,1124,1191,414,777,67,True,ALLOCATED
8,825,H1087,14,PPT0004A,0西-7,378,405,412,0,27,True,ALLOCATED
9,835,H1087,9,BQM4504A,Bay45-S-4,378,405,412,0,27,True,ALLOCATED
10,183,H1087,44,PPT1057A,Bay10-N-14,365,392,412,0,27,True,ALLOCATED
11,193,H1087,46,PPT1059A,Bay10-N-18,365,392,412,0,27,True,ALLOCATED
12,144,H1087,23,PPT0059A,0东-18,355,391,409,0,36,True,ALLOCATED
13,124,H1087,18,PPT0054A,0东-8,351,388,407,0,37,True,ALLOCATED
14,134,H1087,8,BQM4503A,Bay45-S-3,1191,1228,407,821,37,True,ALLOCATED
18,826,H1087,16,PPT0052A,0东-4,364,398,404,0,34,True,ALLOCATED
19,836,H1087,63,PPT0862A,Bay8-N-24,362,396,404,0,34,True,ALLOCATED
20,652,H1087,51,PPT0802A,Bay8-S-3,367,384,409,0,17,True,ALLOCATED
21,653,H1087,36,PPT1012A,Bay10-S-23,367,384,409,0,17,True,ALLOCATED
22,143,H1087,59,PPT0857A,Bay8-N-14,350,389,404,0,39,True,ALLOCATED
23,153,H1087,15,PPT0051A,0东-2,351,390,404,0,39,True,ALLOCATED
24,824,H1087,3,BQM4808A,Bay48-S-8,361,383,407,0,22,True,ALLOCATED
25,834,H1087,61,PPT0859A,Bay8-N-18,360,382,407,0,22,True,ALLOCATED
26,822,H1087,39,PPT1052A,Bay10-N-4,362,383,407,0,21,True,ALLOCATED
27,823,H1087,17,PPT0053A,0东-6,363,384,407,0,21,True,ALLOCATED
29,832,H1087,30,PPT1006A,Bay10-S-11,362,383,407,0,21,True,ALLOCATED
30,833,H1087,34,PPT1010A,Bay10-S-19,362,383,407,0,21,True,ALLOCATED
31,642,H1087,45,PPT1058A,Bay10-N-16,366,383,406,0,17,True,ALLOCATED
32,643,H1087,43,PPT1056A,Bay10-N-12,366,383,406,0,17,True,ALLOCATED
33,283,H1087,51,PPT0802A,Bay8-S-3,328,367,401,0,39,True,ALLOCATED
34,293,H1087,2,BQM4803A,Bay48-S-3,1113,1152,401,751,39,True,ALLOCATED
35,801,H1088,8,BQM4503A,Bay45-S-3,1059,1124,396,728,65,True,ALLOCATED
36,801,H1088,7,BQM4853A,Bay48-N-3,1149,1188,396,792,39,True,ALLOCATED
37,801,H1088,2,BQM4803A,Bay48-S-3,1152,1191,396,795,39,True,ALLOCATED
38,631,H1088,56,PPT0809A,Bay8-S-17,337,348,404,0,11,True,ALLOCATED
39,621,H1088,49,PPT1062A,Bay10-N-24,339,349,404,0,10,True,ALLOCATED
40,282,H1088,36,PPT1012A,Bay10-S-23,331,367,401,0,36,True,ALLOCATED
41,292,H1088,58,PPT0811A,Bay8-S-21,332,368,401,0,36,True,ALLOCATED
42,263,H1088,32,PPT1008A,Bay10-S-15,346,376,401,0,30,True,ALLOCATED
43,623,H1088,40,PPT1053A,Bay10-N-6,363,382,403,0,19,True,ALLOCATED
44,633,H1088,41,PPT1054A,Bay10-N-8,363,382,403,0,19,True,ALLOCATED
45,273,H1088,27,PPT1003A,Bay10-S-5,346,376,400,0,30,True,ALLOCATED
46,182,H1088,2,BQM4803A,Bay48-S-3,1220,1241,402,839,21,True,ALLOCATED
47,192,H1088,57,PPT0810A,Bay8-S-19,355,376,402,0,21,True,ALLOCATED
48,803,H1088,11,PPT0001A,0西-1,358,393,392,1,35,True,ALLOCATED
49,123,H1088,50,PPT0801A,Bay8-S-1,336,370,395,0,34,True,ALLOCATED
50,102,H1088,65,PPT0864A,Bay8-N-28,342,389,392,0,47,True,ALLOCATED
51,632,H1088,48,PPT1061A,Bay10-N-22,353,372,399,0,19,True,ALLOCATED
52,622,H1088,9,BQM4504A,Bay45-S-4,357,374,399,0,17,True,ALLOCATED
53,103,H1088,7,BQM4853A,Bay48-N-3,1222,1254,396,858,32,True,ALLOCATED
54,133,H1087,7,BQM4853A,Bay48-N-3,1188,1222,391,831,34,True,ALLOCATED
