platen_name,platen_id,platen_length_m,platen_width_m,subcontractor_team,ship_id,block_seq_id,block_id,block_length_m,block_width_m,processing_time_days,block_output_value,planned_start_day,planned_end_day,due_date_day,delay_days,early_days,standard_early_days
10号南-5,PPT1003A,20,20,外场ZH,H1087,1,262,14.6,17.28,39,252.288,43612,43651,43621,30,-84,6
10号北-16,PPT1058A,20,20,外场HN,H1087,2,272,14.4,17.28,39,248.832,43564,43603,43621,-18,-36,6
10号南-7,PPT1004A,20,20,外场ZH,H1087,4,154,19.932,15.976,47,318.433632,43591,43638,43622,16,-77,8
8号北-16,PPT0858A,20,22,HL,H1087,5,261,20.1,16,37,321.6,43637,43674,43610,64,-124,6
8号北-16,PPT0858A,20,22,HL,H1087,6,271,17.8,16,37,284.8,43561,43598,43610,-12,-48,6
48南-3,BQM4803A,36,21,MZ,H1087,7,801,28.614,19.075,67,545.81205,43567,43634,43636,-2,-81,2
0号东-14,PPT0057A,20,21,QS,H1087,8,825,19.167,16.931,27,324.516477,43745,43772,43594,178,-212,0
10号南-23,PPT1012A,18,20,外场HN,H1087,9,835,7.416,16.884,27,125.211744,43656,43683,43594,89,-123,0
10号北-8,PPT1054A,20,20,外场ZH,H1087,10,183,8.82,15.798,27,139.33836,43645,43672,43594,78,-119,6
10号南-3,PPT1002A,20,20,外场ZH,H1087,11,193,15.59,15.978,27,249.09702,43591,43618,43594,24,-65,6
0号东-18,PPT0059A,18,21,QS,H1087,12,144,17.566,15.678,36,275.399748,43514,43550,43600,-50,0,8
10号北-24,PPT1062A,20,20,外场HN,H1087,13,124,18.618,14.354,37,267.242772,43512,43549,43599,-50,0,10
48北-3,BQM4853A,36,21,HN,H1087,14,134,22.828,14.354,37,327.673112,43860,43897,43599,298,-348,10
0号西-5,PPT0003A,20,21,MZ,H1087,18,826,20,21,34,420,43618,43652,43593,59,-99,8
0号东-6,PPT0053A,20,21,MZ,H1087,19,836,8,21,34,168,43614,43648,43593,55,-95,8
10号南-9,PPT1005A,20,20,RH,H1087,20,652,13.412,19.5,17,261.534,43557,43574,43581,-7,-31,6
10号北-18,PPT1059A,20,20,外场HN,H1087,21,653,11.2,17.72,17,198.464,43526,43543,43581,-38,0,6
0号西-7,PPT0004A,20,21,MZ,H1087,22,143,13.809,15.686,39,216.607974,43534,43573,43598,-25,-26,7
0号东-8,PPT0054A,20,21,MZ,H1087,23,153,18.919,15.5,39,293.2445,43508,43547,43598,-51,0,7
10号北-2,PPT1051A,20,20,外场ZH,H1087,24,824,15.665,11.094,22,173.78751,43513,43535,43584,-49,0,6
10号北-2,PPT1051A,20,20,外场ZH,H1087,25,834,9.215,10.9,22,100.4435,43585,43607,43584,23,-72,6
0号东-6,PPT0053A,20,21,MZ,H1087,26,822,16.086,14.292,21,229.901112,43514,43535,43583,-48,0,6
8号北-14,PPT0857A,20,22,HL,H1087,27,823,16.231,14.307,21,232.216917,43514,43535,43583,-48,0,6
10号北-12,PPT1056A,20,20,RH,H1087,29,832,6.767,14.288,21,96.686896,43514,43535,43583,-48,0,6
10号北-16,PPT1058A,20,20,外场HN,H1087,30,833,8.709,14.287,21,124.425483,43514,43535,43583,-48,0,6
8号南-7,PPT0804A,20,22,XZY,H1087,31,642,13.412,19.5,17,261.534,43566,43583,43578,5,-40,6
8号南-5,PPT0803A,20,22,HY,H1087,32,643,13.412,17.72,17,237.66064,43640,43657,43578,79,-114,6
10号北-20,PPT1060A,20,20,外场HN,H1087,33,283,13.7,18.32,39,250.984,43729,43768,43595,173,-242,6
48南-3,BQM4803A,36,21,MZ,H1087,34,293,22.5,18.32,39,412.2,44798,44837,43595,1242,-1311,6
45南-3,BQM4503A,33,21,ZH,H1088,35,801,28.614,19.075,65,545.81205,44169,44234,43616,618,-699,2
48南-3,BQM4803A,36,21,MZ,H1088,36,801,28.614,19.075,39,545.81205,44523,44562,43590,972,-1026,9
45南-3,BQM4503A,33,21,ZH,H1088,37,801,28.614,19.075,39,545.81205,44610,44649,43590,1059,-1113,9
0号东-12,PPT0056A,20,21,QS,H1088,38,631,10.53,15.97,11,168.1641,43751,43762,43570,192,-229,33
8号南-19,PPT0810A,20,22,HL,H1088,39,621,8.95,15.97,10,142.9315,43525,43535,43569,-34,0,33
10号北-22,PPT1061A,20,20,外场HN,H1088,40,282,14.7,19.5,36,286.65,43650,43686,43592,94,-160,6
10号南-7,PPT1004A,20,20,外场ZH,H1088,41,292,16.6,19.5,36,323.7,43490,43526,43592,-66,0,6
8号南-17,PPT0809A,20,22,HL,H1088,42,263,16.6,18.79,30,311.914,43506,43536,43586,-50,0,6
0号西-5,PPT0003A,20,21,MZ,H1088,43,623,13.38,18.79,19,251.4102,43520,43539,43577,-38,0,3
10号北-10,PPT1055A,20,20,RH,H1088,44,633,13.38,18.79,19,251.4102,43710,43729,43577,152,-190,3
10号南-25,PPT1013A,18,20,外场HN,H1088,45,273,14.5,18.79,30,272.455,43680,43710,43585,125,-174,6
48南-3,BQM4803A,36,21,MZ,H1088,46,182,25,7.3,21,182.5,44644,44665,43578,1087,-1132,6
10号南-11,PPT1006A,20,20,RH,H1088,47,192,13.889,7.3,21,101.3897,43629,43650,43578,72,-117,6
8号北-28,PPT0864A,20,22,机动,H1088,48,803,15.5,12,35,186,43508,43543,43582,-39,0,1
0号东-12,PPT0056A,20,21,QS,H1088,49,123,16.106,12.2,34,196.4932,43493,43527,43584,-57,0,4
45南-4,BQM4504A,20,21,ZH,H1088,50,102,19.76,18.47,47,364.9672,43494,43541,43594,-53,0,0
10号南-7,PPT1004A,20,20,外场ZH,H1088,51,632,13.38,17.28,19,231.2064,43751,43770,43573,197,-236,12
8号北-18,PPT0859A,20,22,HL,H1088,52,622,13.38,17.28,17,231.2064,43518,43535,43571,-36,0,12
45南-3,BQM4503A,33,21,ZH,H1088,53,103,29.101,15.68,32,456.30368,44343,44375,43583,792,-828,5
48北-3,BQM4853A,36,21,HN,H1087,54,133,24.07,12.2,34,293.654,43795,43829,43580,249,-302,4
0号东-10,PPT0055A,20,21,MZ,H1087,55,825,19.167,16.931,27,324.516477,43513,43540,43574,-34,0,0
10号北-16,PPT1058A,20,20,外场HN,H1087,56,835,7.416,16.884,27,125.211744,43536,43563,43574,-11,-23,0
48北-3,BQM4853A,36,21,HN,H1087,57,111,22.2,13.8,29,306.36,44039,44068,43572,496,-534,15
0号西-7,PPT0004A,20,21,MZ,H1087,58,221,16,15.97,25,255.52,43508,43533,43580,-47,0,22
0号东-10,PPT0055A,20,21,MZ,H1087,59,122,15.531,12.2,31,189.4782,43638,43669,43577,92,-140,-1
10号北-4,PPT1052A,20,20,外场ZH,H1087,60,132,18.94,12.2,31,231.068,43602,43633,43577,56,-104,-1
0号西-5,PPT0003A,20,21,MZ,H1087,61,652,13.412,19.5,19,261.534,43567,43586,43567,19,-59,6
10号南-9,PPT1005A,20,20,RH,H1087,62,653,11.2,17.72,19,198.464,43508,43527,43567,-40,0,6
0号西-5,PPT0003A,20,21,MZ,H1087,63,826,20,21,34,420,43653,43687,43573,114,-154,8
0号西-7,PPT0004A,20,21,MZ,H1087,64,836,8,21,34,168,43574,43608,43573,35,-75,8
42南-2,BQM4202A,18,18,YT,H1087,66,824,15.665,11.094,22,173.78751,43665,43687,43569,118,-167,6
8号北-16,PPT0858A,20,22,HL,H1087,67,834,9.215,10.9,22,100.4435,43538,43560,43569,-9,-40,6
10号北-4,PPT1052A,20,20,外场ZH,H1087,68,822,16.086,14.292,21,229.901112,43499,43520,43568,-48,0,6
8号南-17,PPT0809A,20,22,HL,H1087,69,823,16.231,14.307,21,232.216917,43763,43784,43568,216,-264,6
10号北-22,PPT1061A,20,20,外场HN,H1087,70,832,6.767,14.288,21,96.686896,43499,43520,43568,-48,0,6
8号南-3,PPT0802A,20,22,HY,H1087,71,833,8.709,14.287,21,124.425483,43724,43745,43568,177,-225,6
0号东-14,PPT0057A,20,21,QS,H1088,72,112,21,8.6,21,180.6,43705,43726,43561,165,-198,5
0号东-20,PPT0060A,18,21,QS,H1088,73,292,16.6,19.5,36,323.7,43505,43541,43579,-38,0,6
10号南-13,PPT1007A,18,20,RH,H1088,74,292,16.6,19.5,36,323.7,43686,43722,43579,143,-181,6
8号北-28,PPT0864A,20,22,机动,H1088,75,642,13.412,19.5,19,261.534,43750,43769,43564,205,-242,6
0号东-12,PPT0056A,20,21,QS,H1088,76,643,13.412,17.72,19,237.66064,43603,43622,43564,58,-95,6
10号北-14,PPT1057A,20,20,RH,H1088,77,282,14.7,19.5,35,286.65,43507,43542,43577,-35,0,7
8号北-18,PPT0859A,20,22,HL,H1088,78,282,14.7,19.5,35,286.65,43560,43595,43577,18,-53,7
10号南-19,PPT1010A,18,20,外场HN,H1088,79,803,15.5,13,35,201.5,43493,43528,43567,-39,0,1
48北-3,BQM4853A,36,21,HN,H1088,80,101,30.66,9.4,38,288.204,44095,44133,43570,563,-615,0
10号北-20,PPT1060A,20,20,外场HN,H1088,81,231,14.308,15.97,24,228.49876,43498,43522,43568,-46,0,14
45南-3,BQM4503A,33,21,ZH,H1088,82,293,22.5,18.32,36,412.2,44132,44168,43570,598,-655,7
45南-3,BQM4503A,33,21,ZH,H1088,83,293,22.5,18.32,36,412.2,43718,43754,43570,184,-241,7
10号南-9,PPT1005A,20,20,RH,H1088,84,283,13.7,18.32,36,250.984,43575,43611,43570,41,-97,7
10号南-11,PPT1006A,20,20,RH,H1087,85,283,13.7,18.32,36,250.984,43574,43610,43570,40,-96,7
