episode,makespan,std_dev_workload,avg_reward,epsilon,best_makespan_so_far,best_std_dev_so_far
1,45242,3275.1427462619681,-2666.6076668633168,1,0,0
2,45229,3197.3463722427932,-2734.8785772880151,0.99950000000000006,1,1
3,45206,3386.1182059625312,-2606.1420450663318,0.99900025000000015,2,1
4,45182,3229.0876860595781,-2640.113445139727,0.99850074987500015,3,1
5,45199,3273.357254080976,-2683.2089799523792,0.99800149950006267,3,1
6,45299,3362.2534041811509,-2658.498862082065,0.99750249875031272,3,1
7,45208,3269.4329695919268,-2618.5052158513799,0.99700374750093756,3,1
8,45247,3259.31801736029,-2738.7799270031428,0.99650524562718712,3,1
9,45192,3227.2415000748151,-2638.0939593664921,0.99600699300437356,3,1
10,45280,3373.4717643045651,-2784.2847148950959,0.99550898950787148,3,1
11,45221,3179.63001947159,-2590.7999718034889,0.99501123501311761,3,10
12,45293,3367.616010042997,-2765.8189592937101,0.99451372939561111,3,10
13,45203,3258.1647799820621,-2588.811362087833,0.99401647253091341,3,10
14,45185,3362.8882402266522,-2524.3971337158841,0.99351946429464799,3,10
15,45232,3273.8117294029921,-2633.4987876507771,0.99302270456250075,3,10
16,45123,3100.053922453104,-2582.564476756374,0.99252619321021951,15,15
17,45211,3226.397142401232,-2625.0923813304221,0.9920299301136144,15,15
18,45227,3272.3873951281262,-2566.8832637343789,0.9915339151485576,15,15
19,45206,3098.5359970076879,-2631.398607584943,0.99103814819098335,15,18
20,45217,3217.4773063446319,-2721.7836645689749,0.99054262911688795,15,18
21,45255,3388.90539608475,-2581.620713945947,0.99004735780232955,15,18
22,45161,3426.1472834801129,-2625.1855796186569,0.98955233412342847,15,18
23,45180,3332.818240937801,-2547.219505458499,0.98905755795636685,15,18
24,45217,3338.4901507705008,-2662.3886790159881,0.9885630291773887,15,18
25,45217,3355.1658738871029,-2622.041605655862,0.98806874766280006,15,18
26,45202,3273.905059872026,-2602.3926698320161,0.98757471328896873,15,18
27,45202,3291.9073027787599,-2678.1992853699512,0.98708092593232433,15,18
28,45220,3286.9009282827292,-2682.1851812559498,0.9865873854693582,15,18
29,45185,3176.8242289500572,-2569.197687027754,0.98609409177662355,15,18
30,45244,3280.213984376534,-2673.8281235905361,0.98560104473073529,15,18
31,45148,3210.0119011263719,-2612.8098345511639,0.98510824420836995,15,18
32,45252,3377.2804902337912,-2708.0245125787169,0.98461569008626582,15,18
33,45209,3229.8624950348421,-2738.9333033017028,0.98412338224122275,15,18
34,45252,3371.178840400858,-2733.6806417051798,0.98363132055010216,15,18
35,45227,3274.033855677586,-2700.2438577350649,0.98313950488982715,15,18
36,45211,3159.5972040323941,-2699.6100901437958,0.98264793513738224,15,18
37,45135,3047.5461640184371,-2509.3113301693038,0.98215661116981356,15,36
38,45187,3216.3679986610391,-2567.513874387063,0.98166553286422875,15,36
39,45249,3287.522648638324,-2739.1806259708942,0.98117470009779673,15,36
40,45167,3263.776784418284,-2569.404021288361,0.98068411274774792,15,36
41,45163,3277.3159384062369,-2491.4767233159541,0.98019377069137414,15,36
42,45182,3254.3392335593389,-2590.868258735698,0.97970367380602852,15,36
43,45218,3255.0196153153929,-2647.7252619072351,0.97921382196912554,15,36
