episode,makespan,std_dev_workload,avg_reward,epsilon,best_makespan_so_far,best_std_dev_so_far
1,44989,3206.3967489842312,-2684.133876671518,1,0,0
2,44932,3157.1818810539539,-2794.391941242056,0.999,1,1
3,45026,3276.127395831606,-2862.712568863461,0.99800100000000003,1,1
4,45097,3365.9563654943731,-2854.788872753843,0.997002999,1,1
5,45020,3262.3919339659419,-2651.1218111859271,0.99600599600100004,1,1
6,45078,3296.0592394292839,-2824.5246738945079,0.99500999000499901,1,1
7,44985,3237.9512870119088,-2613.8053081229982,0.994014980014994,1,1
8,45093,3338.6789584251119,-2636.205005954776,0.99302096503497905,1,1
9,45021,3323.393551154033,-2661.6154009444381,0.9920279440699441,1,1
10,45126,3314.0444936234749,-2788.094455417418,0.99103591612587416,1,1
11,45071,3437.94574498576,-2792.0150322153049,0.99004488020974823,1,1
12,45037,3278.687955750705,-2821.0344566273939,0.98905483532953853,1,1
13,44982,3265.958507649173,-2681.1936639066548,0.98806578049420901,1,1
14,45140,3409.081939029445,-2717.138719014712,0.98707771471371475,1,1
15,45081,3421.0049344360818,-2778.7075357644821,0.98609063699900101,1,1
16,45023,3238.1482464702422,-2808.690607231696,0.98510454636200206,1,1
17,45071,3321.817291755171,-2618.5931525499209,0.98411944181564004,1,1
18,44983,3206.7677846991651,-2707.0798235978,0.98313532237382439,1,1
19,44997,3306.8883781154741,-2648.8238750337841,0.98215218705145058,1,1
20,44990,3200.3598944489172,-2755.0058945634551,0.98117003486439913,1,1
21,45056,3359.3083416028721,-2681.9358878249191,0.98018886482953471,1,1
22,44952,3238.620766716529,-2625.4759374899631,0.97920867596470518,1,1
23,45044,3346.9305594488269,-2741.8199651268792,0.9782294672887405,1,1
24,44960,3160.9213999436311,-2844.5671164138889,0.97725123782145173,1,1
25,44962,3161.6035919984201,-2667.0911900371611,0.97627398658363029,1,1
26,44934,3205.2834131523282,-2683.9742062134642,0.97529771259704667,1,1
27,45000,3195.5396108319901,-2878.1390911670119,0.97432241488444959,1,1
28,44908,3150.783375327369,-2728.2737258695629,0.97334809246956511,27,27
29,44978,3241.357586793159,-2675.9644812221441,0.97237474437709559,27,27
30,44945,3252.0410816613962,-2746.673755407935,0.97140236963271853,27,27
31,45082,3275.044446253828,-2654.074965474108,0.97043096726308586,27,27
32,44940,3214.374617222657,-2736.9765160021821,0.96946053629582274,27,27
33,45153,3400.930392757075,-2659.252983955485,0.96849107575952686,27,27
34,45059,3281.602064560047,-2791.4970011369278,0.96752258468376728,27,27
35,45031,3272.1959480654509,-2724.466120382765,0.96655506209908348,27,27
36,45032,3238.3757070328979,-2662.5441441122648,0.9655885070369844,27,27
37,45053,3311.8284303463979,-2823.0164310238702,0.96462291852994742,27,27
38,45042,3357.46581493127,-2792.144538517678,0.96365829561141747,27,27
39,45031,3235.51220873598,-2730.3999069384372,0.96269463731580607,27,27
40,45033,3225.0064706208391,-2827.4858327557522,0.96173194267849027,27,27
41,45024,3322.8507376364951,-2867.295724200158,0.96077021073581181,27,27
42,45029,3232.5664385240329,-2647.233886387874,0.959809440525076,27,27
43,45141,3465.6073600623272,-2700.2917611386429,0.9588496310845509,27,27
44,45088,3271.597581555382,-2914.8204355442931,0.9578907814534664,27,27
45,45037,3253.666457007042,-2707.8270296071878,0.95693289067201293,27,27
46,45071,3286.8101718241569,-2750.848915130462,0.95597595778134092,27,27
47,44970,3138.0159726481079,-2827.838190379161,0.95501998182355963,27,46
48,45033,3309.5483424060549,-2782.1313728726691,0.95406496184173606,27,46
49,45016,3252.294853678537,-2827.705670498869,0.95311089687989436,27,46
50,44970,3203.3713402574372,-2761.223800461466,0.95215778598301448,27,46
51,45009,3274.6075626402071,-2771.0507015742928,0.95120562819703147,27,46
