ship_id,ship_type,block_id,earliest_start_date,platen_name,expected_end_day_serial
H1156,17.7,825,43031,Bay48-N-1,43049
H1156,17.7,835,43031,Bay48-N-2,43049
H1094,17.7,825,43033,Bay48-N-3,43054
H1094,17.7,835,43033,Bay48-N-4,43054
H1095,17.7,825,43033,Bay48-N-5,43054
H1095,17.7,835,43033,Bay48-N-6,43054
H1103,31.6,182,43027,Bay48-N-7,43047
H1103,31.6,192,43027,Bay48-N-8,43047
H1133,17.7,112,43031,Bay48-N-9,43050
H1094,17.7,102,43024,Bay48-S-1,43045
H1094,17.7,144,43033,Bay48-S-2,43051
H1094,17.7,154,43033,Bay48-S-3,43051
H1097,17.7,826,43026,Bay48-S-4,43049
H1097,17.7,836,43026,Bay48-S-5,43049
H1098,17.7,144,43035,Bay48-S-6,43053
H1098,17.7,154,43035,Bay48-S-7,43053
H1098,17.7,111,43016,Bay48-S-8,43035
H1098,17.7,143,43028,Bay48-S-9,43047
H1098,17.7,153,43028,Bay48-S-10,43047
H1103,31.6,184,43026,Bay45-N-1,43047
H1103,31.6,194,43026,Bay45-N-2,43047
H1103,31.6,125,43025,Bay45-N-3,43045
H1103,31.6,135,43025,Bay45-N-4,43045
H1103,31.6,162,43017,Bay45-N-5,43036
H1103,31.6,172,43017,Bay45-N-6,43036
H1098,17.7,134,43025,Bay45-N-7,43043
H1098,17.7,124,43025,Bay45-S-1,43050
H1098,17.7,103,43020,Bay45-S-2,43036
H1103,31.6,183,43034,Bay45-S-3,43055
H1103,31.6,193,43034,Bay45-S-4,43055
H1133,17.7,123,43028,Bay45-S-5,43046
H1133,17.7,133,43028,Bay45-S-6,43046
H1095,17.7,803,43031,Bay45-S-7,43050
H1094,17.7,621,43032,Bay42-S-1,43044
H1094,17.7,631,43032,Bay42-S-2,43044
