seq_id,primary_area,secondary_area,platen_id,platen_name,dimensions,crane_capacity_ton,height_limit_m,subcontractor_team,assigned_block_type,block_type,platen_type,notes
1,曲面,48米,BQM4801A,48南-1,5*10,240,9,MZ,110,,定置,
2,曲面,48米,BQM4802A,48南-2,5*10,240,9,MZ,110,,定置,
3,曲面,48米,BQM4803A,48南-3,36*21,240,9,MZ,,,通用,
8,曲面,48米,BQM4808A,48南-8,20*14,240,9,MZ,111,,定置,
10,曲面,48米,BQM4810A,48南-10,22*21,240,9,MZ,,,通用,
11,曲面,48米,BQM4851A,48北-1,5*10,240,9,HN,110,,定置,
12,曲面,48米,BQM4852A,48北-2,5*10,240,9,HN,110,,定置,
13,曲面,48米,BQM4853A,48北-3,36*21,240,9,HN,,曲,通用,
22,曲面,45米,BQM4503A,45南-3,33*21,240,9,ZH,,平,通用,
23,曲面,45米,BQM4504A,45南-4,20*21,240,9,ZH,,平,通用,
37,曲面,42米,BQM4202A,42南-2,18*18,240,9M,YT,,,通用,
38,平台一,0号平台,PPT0001A,0号西-1,20*21,270,,MZ,,,通用,平台一
39,平台一,0号平台,PPT0002A,0号西-3,20*21,270,,MZ,,,通用,
40,平台一,0号平台,PPT0003A,0号西-5,20*21,270,,MZ,,曲,定置,
41,平台一,0号平台,PPT0004A,0号西-7,20*21,270,,MZ,,曲,定置,
49,平台一,0号平台,PPT0051A,0号东-2,20*21,270,,MZ,,平,通用,
50,平台一,0号平台,PPT0052A,0号东-4,20*21,270,,MZ,,平,通用,
51,平台一,0号平台,PPT0053A,0号东-6,20*21,270,,MZ,,,通用,
52,平台一,0号平台,PPT0054A,0号东-8,20*21,270,,MZ,,曲,定置,
53,平台一,0号平台,PPT0055A,0号东-10,20*21,270,,MZ,,曲,定置,
54,平台一,0号平台,PPT0056A,0号东-12,20*21,270,,QS,,平,通用,
55,平台一,0号平台,PPT0057A,0号东-14,20*21,270,,QS,,平,通用,
56,平台一,0号平台,PPT0058A,0号东-16,18*21,270,,QS,,平,通用,
57,平台一,0号平台,PPT0059A,0号东-18,18*21,270,,QS,,平,通用,
58,平台一,0号平台,PPT0060A,0号东-20,18*21,270,,QS,,平,通用,
59,平台一,10号平台,PPT1001A,10号南-1,20*20,280,,外场ZH,,平,通用,
60,平台一,10号平台,PPT1002A,10号南-3,20*20,280,,外场ZH,,平,通用,
61,平台一,10号平台,PPT1003A,10号南-5,20*20,280,,外场ZH,,,通用,
62,平台一,10号平台,PPT1004A,10号南-7,20*20,280,,外场ZH,,,通用,
63,平台一,10号平台,PPT1005A,10号南-9,20*20,280,,RH,,曲,定置,
64,平台一,10号平台,PPT1006A,10号南-11,20*20,280,,RH,,曲,定置,
65,平台一,10号平台,PPT1007A,10号南-13,18*20,280,,RH,,平,通用,
66,平台一,10号平台,PPT1008A,10号南-15,18*20,280,,外场HN,,平,通用,
67,平台一,10号平台,PPT1009A,10号南-17,18*20,280,,外场HN,,平,通用,
68,平台一,10号平台,PPT1010A,10号南-19,18*20,280,,外场HN,,,通用,
69,平台一,10号平台,PPT1011A,10号南-21,18*20,280,,外场HN,,平,通用,
70,平台一,10号平台,PPT1012A,10号南-23,18*20,280,,外场HN,,平,通用,
71,平台一,10号平台,PPT1013A,10号南-25,18*20,280,,外场HN,,平,通用,
72,平台一,10号平台,PPT1051A,10号北-2,20*20,280,,外场ZH,,曲,定置,
73,平台一,10号平台,PPT1052A,10号北-4,20*20,280,,外场ZH,,曲,定置,
74,平台一,10号平台,PPT1053A,10号北-6,20*20,280,,外场ZH,,,通用,
75,平台一,10号平台,PPT1054A,10号北-8,20*20,280,,外场ZH,,,通用,
76,平台一,10号平台,PPT1055A,10号北-10,20*20,280,,RH,,,通用,
77,平台一,10号平台,PPT1056A,10号北-12,20*20,280,,RH,,,通用,
78,平台一,10号平台,PPT1057A,10号北-14,20*20,280,,RH,,,通用,
79,平台一,10号平台,PPT1058A,10号北-16,20*20,280,,外场HN,,曲,定置,
80,平台一,10号平台,PPT1059A,10号北-18,20*20,280,,外场HN,,曲,定置,
81,平台一,10号平台,PPT1060A,10号北-20,20*20,280,,外场HN,,,通用,
82,平台一,10号平台,PPT1061A,10号北-22,20*20,280,,外场HN,,,通用,
83,平台一,10号平台,PPT1062A,10号北-24,20*20,280,,外场HN,,,通用,
84,分段总组,8号平台,PPT0801A,8号南-1,20*22,350,,HY,,平,通用,分段总组
